optimizer_name_with_category,avg_rank,rank_std,problem_count
HEBO(HPO),1.32,0.78,47
DEHB(HPO),1.77,1.11,47
SMAC(HPO),1.85,1.27,47
ES(general),1.99,1.36,83
irace(HPO),2.28,1.25,47
FLASH(SCT),2.33,1.55,36
PSO(general),2.59,1.41,83
ATConf(SCT),2.75,1.9,36
BOHB(HPO),2.96,2.17,47
Hyperband(HPO),3.11,2.56,47
UQGuided(HPO),3.43,2.08,47
PromiseTune(SCT),3.47,2.95,36
CMAES(general),3.47,2.09,83
OtterTune(SCT),3.56,2.17,36
ConEx(SCT),3.58,1.76,36
GA(general),3.87,2.25,83
GGA(HPO),3.89,2.53,47
ParamILS(HPO),3.89,2.01,47
HABO(HPO),4.79,2.52,47
RandomSearch(general),5.11,2.72,83
DE(general),5.24,2.98,83
SA(general),5.39,2.89,83
ACO(general),5.39,2.55,83
ROBOTune(SCT),5.64,2.34,36
BOCA(SCT),6.47,3.08,36
BestConfig(SCT),6.5,1.7,36
HillClimbing(general),6.6,3.48,83
SWAY(SCT),7.0,3.11,36
BO(general),7.17,3.27,83
Tuneful(SCT),7.33,3.54,36
ResTune(SCT),9.06,2.7,36
