optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
FLASH(SCT),2.33,1.55,36
ES(general),2.58,1.66,36
PSO(general),2.69,1.45,36
ATConf(SCT),2.75,1.9,36
PromiseTune(SCT),3.47,2.95,36
OtterTune(SCT),3.56,2.17,36
ConEx(SCT),3.58,1.76,36
CMAES(general),4.53,2.13,36
GA(general),5.44,1.92,36
ROBOTune(SCT),5.64,2.34,36
ACO(general),6.25,2.2,36
BOCA(SCT),6.47,3.08,36
BestConfig(SCT),6.5,1.7,36
RandomSearch(general),6.61,1.89,36
SA(general),6.75,2.83,36
SWAY(SCT),7.0,3.11,36
DE(general),7.31,2.07,36
Tuneful(SCT),7.33,3.54,36
BO(general),8.78,3.15,36
ResTune(SCT),9.06,2.7,36
HillClimbing(general),9.25,2.94,36
HEBO(HPO),,,0
DEHB(HPO),,,0
SMAC(HPO),,,0
irace(HPO),,,0
BOHB(HPO),,,0
Hyperband(HPO),,,0
UQGuided(HPO),,,0
GGA(HPO),,,0
ParamILS(HPO),,,0
HABO(HPO),,,0
