optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
HEBO(HPO),1.32,0.78,47
ES(general),1.53,0.83,47
DEHB(HPO),1.77,1.11,47
SMAC(HPO),1.85,1.27,47
irace(HPO),2.28,1.25,47
PSO(general),2.51,1.4,47
GA(general),2.66,1.67,47
CMAES(general),2.66,1.67,47
BOHB(HPO),2.96,2.17,47
Hyperband(HPO),3.11,2.56,47
UQGuided(HPO),3.43,2.08,47
DE(general),3.66,2.59,47
GGA(HPO),3.89,2.53,47
ParamILS(HPO),3.89,2.01,47
RandomSearch(general),3.96,2.72,47
SA(general),4.34,2.5,47
HillClimbing(general),4.57,2.31,47
ACO(general),4.72,2.62,47
HABO(HPO),4.79,2.52,47
BO(general),5.94,2.82,47
ATConf(SCT),,,0
FLASH(SCT),,,0
PromiseTune(SCT),,,0
OtterTune(SCT),,,0
ConEx(SCT),,,0
ROBOTune(SCT),,,0
Tuneful(SCT),,,0
BOCA(SCT),,,0
BestConfig(SCT),,,0
SWAY(SCT),,,0
ResTune(SCT),,,0
