optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
s,s,OtterTune,nginx,2.48739999999998,208.0,261.0,,,105,1.0
a,s,DEHB,nginx,2.4635999999999854,240.0,261.0,,,105,1.0
a,s,ParamILS,nginx,2.682799999999986,45.0,100.0,,,105,1.0
a,s,BOHB,nginx,0.622600000000034,197.0,261.0,,,105,0.6666666666666666
g,s,RandomSearch,nginx,3.531600000000026,154.0,261.0,,,105,1.0
s,s,SWAY,nginx,1.2882000000000176,27.0,261.0,,,105,0.6666666666666666
s,s,ATConf,nginx,3.353400000000022,198.0,261.0,,,105,1.0
s,s,ConEx,nginx,1.1281999999999923,194.0,261.0,,,105,1.0
s,s,PromiseTune,nginx,0.5726000000000226,77.0,261.0,,,105,4.0
s,s,BestConfig,nginx,3.531600000000026,154.0,261.0,,,105,2.0
a,s,Hyperband,nginx,2.7930000000000064,123.0,261.0,,,105,0.6666666666666666
a,s,HABO,nginx,2.4635999999999854,11.0,261.0,,,105,1.0
s,s,Tuneful,nginx,9.815800000000024,8.0,48.0,,,105,2.6666666666666665
g,s,BO,nginx,23.24279999999999,3.0,261.0,,,105,1.0
a,s,HEBO,nginx,0.0,159.0,261.0,,,105,3.6666666666666665
s,s,BOCA,nginx,8.037599999999998,12.0,159.0,,,105,1.0
g,s,HillClimbing,nginx,4.139200000000017,36.0,46.0,,,105,6.666666666666667
g,s,ES,nginx,4.552400000000034,110.0,261.0,,,105,1.0
g,s,GA,nginx,0.0,229.0,260.0,,,105,1.0
g,s,PSO,nginx,1.1281999999999923,64.0,227.0,,,105,1.0
s,s,FLASH,nginx,0.0,137.0,261.0,,,105,1.0
a,s,SMAC,nginx,0.5726000000000226,78.0,147.0,,,105,3.6666666666666665
g,s,SA,nginx,0.8729999999999905,212.0,224.0,,,105,7.333333333333333
g,s,DE,nginx,2.76400000000001,141.0,261.0,,,105,1.0
g,s,CMAES,nginx,8.632600000000025,48.0,104.0,,,105,6.666666666666667
g,s,ACO,nginx,1.2882000000000176,102.0,142.0,,,105,5.666666666666667
s,s,ROBOTune,nginx,2.7930000000000064,203.0,261.0,,,105,21.0
a,s,UQGuided,nginx,0.0,190.0,261.0,,,105,1.0
a,s,GGA,nginx,1.7579999999999814,108.0,261.0,,,105,6.666666666666667
a,s,irace,nginx,1.432799999999986,53.0,261.0,,,105,4.333333333333333
s,s,ResTune,nginx,17.985000000000014,1.0,261.0,,,105,3.3333333333333335
s,a,ResTune,nn-31,0.03,20.0,194.0,,,105,0.32786885245901637
s,a,ROBOTune,nn-31,0.02,88.0,194.0,,,105,0.16393442622950818
s,a,SWAY,nn-31,0.02,160.0,194.0,,,105,0.3114754098360656
a,a,ParamILS,nn-31,0.02,35.0,128.0,,,105,0.04918032786885246
s,a,BOCA,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
a,a,GGA,nn-31,0.03,17.0,194.0,,,105,0.2786885245901639
g,a,CMAES,nn-31,0.03,61.0,194.0,,,105,1.0
g,a,ACO,nn-31,0.02,101.0,194.0,,,105,0.2786885245901639
s,a,OtterTune,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
s,a,ConEx,nn-31,0.02,33.0,194.0,,,105,0.04918032786885246
a,a,irace,nn-31,0.01,60.0,185.0,,,105,0.6721311475409836
s,a,PromiseTune,nn-31,0.03,17.0,194.0,,,105,0.2786885245901639
a,a,SMAC,nn-31,0.03,14.0,194.0,,,105,0.22950819672131148
s,a,FLASH,nn-31,0.02,178.0,194.0,,,105,0.04918032786885246
g,a,RandomSearch,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
a,a,UQGuided,nn-31,0.02,56.0,194.0,,,105,0.04918032786885246
g,a,GA,nn-31,0.02,39.0,193.0,,,105,0.04918032786885246
g,a,BO,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
a,a,BOHB,nn-31,0.01,364.0,38.5432098765432,,,105,0.14673143088443638
s,a,ATConf,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
g,a,HillClimbing,nn-31,0.03,2.0,39.0,,,105,0.03278688524590164
a,a,Hyperband,nn-31,0.01,161.0,9.000000000000002,,,105,0.08196721311475413
s,a,BestConfig,nn-31,0.03,50.0,194.0,,,105,0.819672131147541
a,a,HABO,nn-31,0.02,49.0,194.0,,,105,0.21311475409836064
g,a,DE,nn-31,0.03,3.0,194.0,,,105,0.04918032786885246
a,a,DEHB,nn-31,0.02,158.0,8.913580246913583,,,105,0.0811576603926331
g,a,SA,nn-31,0.03,2.0,194.0,,,105,0.03278688524590164
s,a,Tuneful,nn-31,0.01,92.0,194.0,,,105,0.4262295081967213
a,a,HEBO,nn-31,0.02,80.0,194.0,,,105,0.4262295081967213
g,a,ES,nn-31,0.02,63.0,194.0,,,105,0.04918032786885246
g,a,PSO,nn-31,0.02,61.0,165.0,,,105,0.04918032786885246
s,s,FLASH,rs-6d-c3,0.0,74.0,340.0,,,105,1.0
s,s,ROBOTune,rs-6d-c3,13000.0,121.0,340.0,,,105,1.6666666666666667
g,s,BO,rs-6d-c3,79000.0,6.0,210.0,,,105,1.0
a,s,UQGuided,rs-6d-c3,0.0,111.0,172.0,,,105,2.3333333333333335
g,s,ES,rs-6d-c3,0.0,182.0,340.0,,,105,1.0
g,s,HillClimbing,rs-6d-c3,18000.0,23.0,42.0,,,105,3.8333333333333335
s,s,BOCA,rs-6d-c3,13000.0,312.0,340.0,,,105,1.0
g,s,GA,rs-6d-c3,7000.0,281.0,339.0,,,105,1.0
s,s,ATConf,rs-6d-c3,7000.0,340.0,340.0,,,105,1.5
a,s,irace,rs-6d-c3,10000.0,59.0,202.0,,,105,1.8333333333333333
g,s,ACO,rs-6d-c3,0.0,172.0,175.0,,,105,1.8333333333333333
a,s,SMAC,rs-6d-c3,0.0,8.0,67.0,,,105,0.6666666666666666
s,s,ConEx,rs-6d-c3,0.0,320.0,340.0,,,105,1.0
a,s,BOHB,rs-6d-c3,15000.0,273.0,340.0,,,105,0.8333333333333334
