optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
ParamILS(HPO),1.36,0.61,47
GA(general),1.4,0.65,47
PSO(general),1.45,0.58,47
ES(general),1.47,0.75,47
BO(general),1.49,0.72,47
RandomSearch(general),1.53,0.83,47
DE(general),1.62,0.87,47
SMAC(HPO),1.64,0.61,47
CMAES(general),1.74,1.07,47
UQGuided(HPO),1.91,0.95,47
HEBO(HPO),1.96,0.88,47
ACO(general),1.96,1.06,47
HillClimbing(general),2.0,1.04,47
irace(HPO),2.0,1.27,47
DEHB(HPO),2.04,1.1,47
GGA(HPO),2.11,1.37,47
Hyperband(HPO),2.17,1.22,47
BOHB(HPO),2.17,1.32,47
SA(general),2.91,1.28,47
HABO(HPO),3.17,1.45,47
ATConf(SCT),,,0
SWAY(SCT),,,0
BOCA(SCT),,,0
ConEx(SCT),,,0
FLASH(SCT),,,0
OtterTune(SCT),,,0
PromiseTune(SCT),,,0
ROBOTune(SCT),,,0
Tuneful(SCT),,,0
ResTune(SCT),,,0
BestConfig(SCT),,,0
