optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
ATConf(SCT),1.83,0.91,36
PSO(general),1.94,0.86,36
OtterTune(SCT),2.0,0.99,36
HillClimbing(general),2.08,1.2,36
ES(general),2.25,1.02,36
FLASH(SCT),2.31,1.14,36
BOCA(SCT),2.42,0.94,36
Tuneful(SCT),2.44,1.36,36
PromiseTune(SCT),2.44,1.13,36
BO(general),2.47,1.36,36
ResTune(SCT),2.61,1.74,36
CMAES(general),2.64,1.13,36
ConEx(SCT),2.64,1.25,36
GA(general),2.75,1.56,36
ACO(general),2.75,1.18,36
RandomSearch(general),2.81,1.56,36
DE(general),2.92,1.25,36
SA(general),3.14,1.53,36
BestConfig(SCT),3.25,1.56,36
ROBOTune(SCT),3.44,1.63,36
SWAY(SCT),3.58,1.95,36
ParamILS(HPO),,,0
SMAC(HPO),,,0
UQGuided(HPO),,,0
HEBO(HPO),,,0
irace(HPO),,,0
DEHB(HPO),,,0
GGA(HPO),,,0
Hyperband(HPO),,,0
BOHB(HPO),,,0
HABO(HPO),,,0
