optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
HEBO(HPO),1.62,1.48,47,2.78,2.13,36,2.12,1.87,83
FLASH(SCT),1.64,1.01,47,2.64,1.61,36,2.07,1.39,83
DEHB(HPO),1.98,1.41,47,3.36,1.51,36,2.58,1.6,83
SMAC(HPO),2.21,1.67,47,3.89,3.56,36,2.94,2.77,83
OtterTune(SCT),2.23,1.71,47,4.14,2.42,36,3.06,2.24,83
PromiseTune(SCT),2.53,2.55,47,4.14,3.2,36,3.23,2.94,83
ATConf(SCT),2.6,1.97,47,3.06,1.93,36,2.8,1.96,83
irace(HPO),2.62,1.44,47,3.5,1.54,36,3.0,1.54,83
ROBOTune(SCT),2.91,2.31,47,6.56,2.9,36,4.49,3.14,83
ConEx(SCT),3.04,1.78,47,4.28,2.04,36,3.58,1.98,83
Tuneful(SCT),3.09,3.6,47,8.0,3.78,36,5.22,4.4,83
BOHB(HPO),3.55,2.7,47,6.5,2.25,36,4.83,2.9,83
Hyperband(HPO),3.74,2.85,47,7.06,2.03,36,5.18,3.0,83
UQGuided(HPO),3.85,2.44,47,5.0,2.41,36,4.35,2.48,83
GGA(HPO),4.17,2.99,47,7.06,1.85,36,5.42,2.92,83
ParamILS(HPO),4.21,2.4,47,8.19,3.04,36,5.94,3.33,83
BestConfig(SCT),4.28,3.0,47,7.22,1.96,36,5.55,2.97,83
HABO(HPO),5.0,2.97,47,7.11,2.64,36,5.92,3.0,83
BOCA(SCT),5.6,2.76,47,6.92,2.97,36,6.17,2.91,83
SWAY(SCT),6.02,2.82,47,7.72,3.39,36,6.76,3.17,83
ResTune(SCT),6.26,3.21,47,9.58,3.01,36,7.7,3.52,83
