problem_name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32
7z,FLASH,HEBO,PromiseTune_irace,DEHB,ConEx,ATConf_GGA,BOHB,Hyperband,BestConfig_HABO,BOCA_OtterTune_ROBOTune_SWAY,SMAC_UQGuided,ParamILS,ResTune_Tuneful,,,,,,,,,,,,,,,,,,,
BDBC,FLASH_HEBO_OtterTune,ATConf,DEHB_PromiseTune,ConEx_SMAC_UQGuided_irace,BOHB,BestConfig_GGA_HABO_Hyperband_ParamILS_ROBOTune,ResTune,SWAY,Tuneful,BOCA,,,,,,,,,,,,,,,,,,,,,,
brotli,SMAC,DEHB,ATConf_ConEx_HEBO,UQGuided_irace,BOCA,FLASH,BestConfig_GGA_OtterTune,BOHB_Hyperband_ROBOTune,HABO_Tuneful,PromiseTune,ParamILS_ResTune,SWAY,,,,,,,,,,,,,,,,,,,,
CNN-Cifar10,DEHB_SMAC,ConEx,ATConf,UQGuided,FLASH_GGA_OtterTune_irace,BOCA_Hyperband_PromiseTune_ROBOTune,BestConfig,BOHB_HABO_HEBO_SWAY,ResTune,ParamILS_Tuneful,,,,,,,,,,,,,,,,,,,,,,
CNN-ColorectalHistology,SWAY,FLASH_PromiseTune_UQGuided,SMAC,BestConfig_DEHB,ConEx_HEBO_Hyperband_irace,ATConf,BOCA_BOHB_GGA_HABO_OtterTune_ROBOTune_ResTune_Tuneful,ParamILS,,,,,,,,,,,,,,,,,,,,,,,,
dconvert,ATConf_FLASH_HEBO_OtterTune,DEHB_irace,ConEx_PromiseTune,ROBOTune_SMAC_UQGuided,BOHB,HABO_Hyperband,BOCA_BestConfig_GGA_ParamILS,Tuneful,SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,,
deeparch,HEBO,OtterTune,ATConf_DEHB_FLASH_PromiseTune_UQGuided_irace,ConEx,BOHB_BestConfig_ROBOTune,BOCA_GGA,Hyperband,HABO,Tuneful,ParamILS,SMAC,SWAY,ResTune,,,,,,,,,,,,,,,,,,,
Dune,FLASH_PromiseTune_HEBO,ATConf,irace,SMAC,DEHB_UQGuided,OtterTune_ParamILS,ConEx,HABO_Tuneful,BOHB_BestConfig_GGA_Hyperband_ROBOTune,BOCA_SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,
exastencils,HEBO,ATConf_PromiseTune_irace,DEHB,ConEx,UQGuided,FLASH_OtterTune,Hyperband,BOHB_BestConfig_ParamILS,GGA_ROBOTune,HABO_SWAY,BOCA,SMAC,ResTune,Tuneful,,,,,,,,,,,,,,,,,,
FastDownward,BOCA,Hyperband_ResTune_Tuneful,DEHB_HABO,BOHB_ConEx,FLASH_OtterTune,GGA_HEBO_ROBOTune_UQGuided,BestConfig,SWAY,irace,ATConf,PromiseTune_SMAC,ParamILS,,,,,,,,,,,,,,,,,,,,
FCNet-NavalPropulsion,DEHB_HEBO,SMAC,irace,FLASH,OtterTune,ConEx,ROBOTune,ATConf,ParamILS,UQGuided,BOHB_GGA_SWAY,BOCA_BestConfig_Hyperband_PromiseTune,HABO,ResTune,Tuneful,,,,,,,,,,,,,,,,,
FCNet-ParkinsonsTelemonitoring,HEBO,SMAC,FLASH_irace,DEHB_OtterTune,ParamILS_PromiseTune,ATConf_ConEx,UQGuided,ROBOTune_SWAY,BestConfig,BOCA_BOHB_GGA_HABO_Hyperband,ResTune,Tuneful,,,,,,,,,,,,,,,,,,,,
FCNet-ProteinStructure,HEBO,OtterTune_PromiseTune,DEHB_FLASH,irace,SMAC,ConEx_ParamILS_ROBOTune,ATConf,UQGuided,BOHB,Hyperband,BOCA_BestConfig,GGA_HABO_Tuneful,SWAY,ResTune,,,,,,,,,,,,,,,,,,
FCNet-SliceLocalization,HEBO_SMAC,irace,DEHB,FLASH,ConEx_OtterTune_ParamILS,ATConf,UQGuided,BOCA_BOHB_BestConfig_ROBOTune_SWAY,GGA_HABO_Hyperband_PromiseTune,ResTune_Tuneful,,,,,,,,,,,,,,,,,,,,,,
hipacc,ATConf_OtterTune,ConEx,HEBO_PromiseTune,DEHB_SMAC_irace,BestConfig_FLASH_ROBOTune_UQGuided,GGA_Tuneful,BOCA_BOHB_Hyperband,SWAY,HABO_ParamILS,ResTune,,,,,,,,,,,,,,,,,,,,,,
HSMGP,FLASH_HEBO_OtterTune_SMAC,ATConf_BOCA_DEHB_ROBOTune_UQGuided_irace,ConEx,PromiseTune,GGA_ParamILS_Tuneful,BestConfig_HABO,Hyperband,BOHB,SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,,
HSQLDB,SMAC,ATConf_ConEx_DEHB_FLASH_HEBO_irace,UQGuided,OtterTune,Tuneful,Hyperband_ParamILS_ResTune,GGA,BOCA_BOHB_ROBOTune,BestConfig,PromiseTune,HABO,SWAY,,,,,,,,,,,,,,,,,,,,
javagc,SWAY,ATConf_ConEx_UQGuided,FLASH_SMAC_irace,BOHB_DEHB_ROBOTune,OtterTune,BestConfig_Hyperband,HEBO,GGA,BOCA_HABO_PromiseTune,ResTune,ParamILS,Tuneful,,,,,,,,,,,,,,,,,,,,
jump3r,SMAC,ATConf,DEHB_HEBO,FLASH_irace,ConEx,OtterTune,BOHB_PromiseTune,ROBOTune_UQGuided,BestConfig,GGA_HABO_Hyperband_ResTune,BOCA_SWAY,ParamILS_Tuneful,,,,,,,,,,,,,,,,,,,,
kanzi,SMAC,ATConf,DEHB,HEBO,BOCA_OtterTune_irace,ConEx_FLASH_UQGuided,BOHB,HABO_PromiseTune_ROBOTune_Tuneful,GGA_Hyperband,BestConfig_SWAY,ParamILS,ResTune,,,,,,,,,,,,,,,,,,,,
LLVM,HEBO_ParamILS_PromiseTune_Tuneful_UQGuided,DEHB_irace,BOCA_ConEx_FLASH_SMAC,OtterTune,ATConf_HABO,BOHB,ROBOTune_SWAY,BestConfig_GGA_Hyperband,ResTune,,,,,,,,,,,,,,,,,,,,,,,
MariaDB,HEBO_SMAC,DEHB_FLASH_irace,ATConf_OtterTune_UQGuided,SWAY,ConEx_PromiseTune,GGA,BestConfig_ParamILS,BOCA_Tuneful,BOHB_HABO_Hyperband_ROBOTune,ResTune,,,,,,,,,,,,,,,,,,,,,,
moe,ATConf_FLASH_HEBO_PromiseTune_ConEx_DEHB,BestConfig_GGA_ROBOTune_UQGuided_irace,SMAC,BOCA_BOHB_Hyperband_ParamILS_ResTune,HABO_OtterTune,SWAY_Tuneful,,,,,,,,,,,,,,,,,,,,,,,,,,
MySQL,SMAC,PromiseTune,FLASH_HEBO,UQGuided_irace,ATConf,DEHB,ConEx_OtterTune,SWAY,GGA_Hyperband,BOCA_BestConfig_HABO_Tuneful,BOHB_ROBOTune_ResTune,ParamILS,,,,,,,,,,,,,,,,,,,,
nginx,FLASH,HEBO,UQGuided,PromiseTune_SMAC_irace,ATConf,ConEx_DEHB,OtterTune,BestConfig_HABO_Hyperband_ParamILS_ROBOTune,BOHB_GGA,BOCA,Tuneful,ResTune_SWAY,,,,,,,,,,,,,,,,,,,,
nn-10101,ATConf_ConEx_GGA_SMAC_SWAY_Tuneful_irace,BOCA_BOHB_BestConfig_FLASH_HABO_HEBO_Hyperband_OtterTune_PromiseTune_ROBOTune,DEHB_UQGuided,ParamILS,ResTune,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146818,ATConf_BOCA_irace_FLASH_GGA_HABO_HEBO_OtterTune_PromiseTune_ROBOTune_UQGuided_Tuneful,BestConfig_ConEx_DEHB_ParamILS_SMAC,BOHB_Hyperband,ResTune_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146821,ATConf_BOHB_DEHB_FLASH_HEBO_Hyperband_SMAC,BOCA_BestConfig_PromiseTune_ConEx_GGA_HABO_OtterTune_UQGuided_irace_ParamILS_ROBOTune_Tuneful,ResTune_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146822,DEHB_HEBO,BOHB_FLASH_OtterTune_SMAC_Tuneful,ROBOTune,irace,ATConf_ConEx_Hyperband_SWAY_UQGuided,BOCA_BestConfig_GGA_HABO_ParamILS_PromiseTune,ResTune,,,,,,,,,,,,,,,,,,,,,,,,,
nn-31,DEHB_FLASH_HEBO_Hyperband,BOHB_SMAC_SWAY,Tuneful_irace,OtterTune_UQGuided,ConEx_HABO,ATConf_BOCA,BestConfig_GGA_ParamILS_PromiseTune_ROBOTune,ResTune,,,,,,,,,,,,,,,,,,,,,,,,
nn-3917,SMAC,HEBO_PromiseTune,FLASH,DEHB_irace,ATConf_BOHB,ConEx,Hyperband_OtterTune_SWAY_Tuneful,GGA_UQGuided,BOCA_HABO_ParamILS_ROBOTune,BestConfig,ResTune,,,,,,,,,,,,,,,,,,,,,
nn-53,HEBO_PromiseTune,FLASH_OtterTune,Tuneful,DEHB_ROBOTune_SMAC_irace,ATConf_ConEx_ParamILS,BOHB_GGA,BOCA_UQGuided,BestConfig_HABO_Hyperband,SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,,
nn-9952,BOHB_FLASH_HEBO_OtterTune_SMAC_Tuneful_ROBOTune,ATConf_Hyperband_DEHB_PromiseTune,BestConfig_ConEx_irace_GGA_UQGuided,BOCA_HABO_ParamILS_SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,,,,,,,
noc-CM-log,ATConf_ConEx_DEHB_FLASH_HABO_HEBO_OtterTune_ParamILS_PromiseTune_ROBOTune_Tuneful_irace_BOCA,BestConfig_GGA,Hyperband_UQGuided,BOHB_SMAC_SWAY,ResTune,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenVPN,SMAC,ATConf_OtterTune,FLASH_HEBO_PromiseTune_irace,DEHB_UQGuided,ConEx,Hyperband,BOHB_BestConfig_ParamILS_ROBOTune,BOCA_GGA_HABO_ResTune,Tuneful,SWAY,,,,,,,,,,,,,,,,,,,,,,
Opus,SMAC,ATConf_FLASH_HEBO,irace,DEHB,OtterTune,ConEx_PromiseTune,BOCA_BOHB,Hyperband,GGA_ROBOTune_SWAY,BestConfig_ResTune_UQGuided,HABO_ParamILS,Tuneful,,,,,,,,,,,,,,,,,,,,
polly,SMAC,ATConf_PromiseTune,BOCA_FLASH_HEBO_OtterTune_irace,SWAY_Tuneful,BOHB_ConEx_DEHB,GGA,UQGuided,BestConfig_Hyperband,HABO_ROBOTune,ParamILS,ResTune,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,PromiseTune,DEHB_FLASH,HEBO,SWAY,ATConf_HABO_irace,ConEx_OtterTune,BOCA,BOHB,BestConfig_GGA_Hyperband_ROBOTune,ParamILS_UQGuided,SMAC_Tuneful,ResTune,,,,,,,,,,,,,,,,,,,,
redis,BOHB_ConEx_SWAY_irace,ROBOTune_SMAC,BOCA_DEHB_OtterTune_ResTune_Tuneful,FLASH_HABO,ATConf_Hyperband,BestConfig_GGA_HEBO_PromiseTune_UQGuided,ParamILS,,,,,,,,,,,,,,,,,,,,,,,,,
rf-10101,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HEBO_Hyperband_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace,HABO_ParamILS_ResTune_UQGuided,BOCA_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-146195,DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful,ATConf_irace,ConEx_ParamILS,BOHB_UQGuided,GGA_Hyperband,HABO,BestConfig,BOCA_ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,
rf-146212,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HEBO_Hyperband_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_UQGuided_irace_HABO_ParamILS,BOCA_ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-146818,FLASH_SMAC_HEBO,ATConf_Tuneful_OtterTune_PromiseTune_irace,BOHB_ROBOTune_DEHB,BestConfig,ConEx_GGA_Hyperband_UQGuided,HABO_ParamILS,BOCA_ResTune_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,
rf-146821,DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_Tuneful_SMAC,ATConf_irace,ConEx,BOHB_Hyperband_ParamILS,BestConfig_UQGuided,GGA_HABO,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,
rf-146822,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HEBO_Hyperband_OtterTune_ParamILS_PromiseTune_ROBOTune_SMAC_Tuneful_UQGuided_irace,HABO_ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-14965,ATConf_BOHB_DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace,ConEx_GGA_HABO_Hyperband_UQGuided,BestConfig_ParamILS,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-167119,ATConf_BOHB_ConEx_DEHB_FLASH_HEBO_OtterTune_PromiseTune_SMAC_Tuneful_BestConfig,GGA_HABO_Hyperband_ParamILS_ROBOTune_UQGuided_irace,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-168329,HEBO_Tuneful,FLASH_OtterTune,PromiseTune,ATConf_DEHB_ROBOTune_irace,ConEx_SMAC,BOHB_Hyperband,GGA_HABO_ParamILS_UQGuided,BestConfig,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,
rf-168330,Tuneful,OtterTune,ATConf,BOHB_ConEx_DEHB_HEBO_ROBOTune_FLASH_irace,HABO_Hyperband_ParamILS_PromiseTune,BestConfig_SMAC_UQGuided,BOCA_GGA_ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,
rf-168331,ATConf_DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace,ConEx,BOHB_Hyperband_ParamILS,GGA_UQGuided,BestConfig,HABO,BOCA_ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,
rf-168335,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HABO_HEBO_Hyperband_OtterTune_ParamILS_PromiseTune_ROBOTune_SMAC_Tuneful_UQGuided_irace,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-168868,DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_Tuneful,SMAC,ATConf,Hyperband_irace,ConEx_ParamILS,BOHB_UQGuided_BestConfig_GGA,HABO,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,
rf-168908,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HEBO_Hyperband_OtterTune_ParamILS_PromiseTune_ROBOTune_SMAC_Tuneful_irace,HABO_ResTune_UQGuided,BOCA_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-168910,ATConf_BOHB_ConEx_DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace,ParamILS,Hyperband,UQGuided,GGA,BestConfig,HABO,BOCA,ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,
rf-7592,OtterTune_Tuneful,DEHB_FLASH_HEBO_SMAC_ROBOTune,ATConf_Hyperband,ConEx,BOHB_PromiseTune_UQGuided,BestConfig_ParamILS_irace,BOCA_GGA_HABO_ResTune_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,
rf-9952,ATConf_DEHB_FLASH_OtterTune_PromiseTune_ROBOTune_Tuneful_HEBO_Hyperband,BOHB_GGA_SMAC_irace,BestConfig_ConEx_HABO_ParamILS_UQGuided,ResTune,BOCA_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf-9977,ATConf_BOHB_ConEx_DEHB_FLASH_HEBO_Hyperband_OtterTune_PromiseTune_ROBOTune_Tuneful,BestConfig_GGA_HABO_ParamILS_SMAC_irace_UQGuided,ResTune,BOCA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
