optimizer_name_with_category,avg_rank,rank_std,problem_count
ATConf(SCT),2.3,1.16,83
PSO(general),2.45,0.97,83
ParamILS(HPO),2.52,1.12,83
SMAC(HPO),2.65,1.32,83
OtterTune(SCT),2.65,1.58,83
PromiseTune(SCT),2.7,2.06,83
ES(general),2.75,1.34,83
FLASH(SCT),2.76,1.23,83
ResTune(SCT),2.89,2.11,83
BOCA(SCT),2.93,1.69,83
ConEx(SCT),2.95,1.33,83
BO(general),2.98,1.8,83
RandomSearch(general),3.07,1.5,83
Tuneful(SCT),3.08,1.63,83
GA(general),3.13,1.69,83
HillClimbing(general),3.16,1.84,83
UQGuided(HPO),3.23,1.6,83
CMAES(general),3.27,1.55,83
DE(general),3.28,1.66,83
DEHB(HPO),3.33,1.64,83
irace(HPO),3.54,1.8,83
HEBO(HPO),3.6,1.46,83
ACO(general),3.78,1.83,83
BestConfig(SCT),3.81,1.87,83
BOHB(HPO),3.87,1.91,83
Hyperband(HPO),3.89,1.88,83
ROBOTune(SCT),4.05,2.08,83
GGA(HPO),4.23,2.16,83
SA(general),4.57,2.26,83
HABO(HPO),5.05,2.35,83
SWAY(SCT),5.12,2.52,83
