optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
ATConf(SCT),2.45,1.18,47
ParamILS(HPO),2.45,1.06,47
PSO(general),2.51,0.86,47
ResTune(SCT),2.53,1.76,47
PromiseTune(SCT),2.53,2.39,47
FLASH(SCT),2.55,0.85,47
ES(general),2.62,1.13,47
ConEx(SCT),2.66,0.98,47
BOCA(SCT),2.7,1.44,47
BO(general),2.72,1.41,47
GA(general),2.72,1.26,47
RandomSearch(general),2.74,1.09,47
DE(general),2.87,1.31,47
OtterTune(SCT),2.91,1.73,47
SMAC(HPO),2.96,1.46,47
CMAES(general),3.06,1.71,47
Tuneful(SCT),3.09,1.6,47
UQGuided(HPO),3.55,1.59,47
DEHB(HPO),3.57,1.72,47
BestConfig(SCT),3.6,1.65,47
HillClimbing(general),3.62,1.86,47
ROBOTune(SCT),3.7,2.02,47
HEBO(HPO),3.7,1.61,47
irace(HPO),3.81,1.99,47
BOHB(HPO),3.81,1.87,47
ACO(general),3.83,2.03,47
Hyperband(HPO),3.89,1.87,47
GGA(HPO),3.94,2.03,47
SA(general),4.96,2.03,47
HABO(HPO),5.28,2.14,47
SWAY(SCT),5.38,2.3,47
