optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
ATConf(SCT),2.11,1.12,36
SMAC(HPO),2.25,1.0,36
OtterTune(SCT),2.31,1.31,36
PSO(general),2.36,1.1,36
HillClimbing(general),2.56,1.65,36
ParamILS(HPO),2.61,1.2,36
UQGuided(HPO),2.81,1.53,36
PromiseTune(SCT),2.92,1.54,36
ES(general),2.92,1.57,36
DEHB(HPO),3.0,1.49,36
FLASH(SCT),3.03,1.56,36
Tuneful(SCT),3.08,1.7,36
irace(HPO),3.19,1.49,36
BOCA(SCT),3.22,1.96,36
BO(general),3.31,2.19,36
ConEx(SCT),3.33,1.62,36
ResTune(SCT),3.36,2.45,36
HEBO(HPO),3.47,1.25,36
RandomSearch(general),3.5,1.84,36
CMAES(general),3.53,1.3,36
GA(general),3.67,2.01,36
ACO(general),3.72,1.56,36
DE(general),3.81,1.92,36
Hyperband(HPO),3.89,1.92,36
BOHB(HPO),3.94,1.98,36
SA(general),4.06,2.46,36
BestConfig(SCT),4.08,2.12,36
ROBOTune(SCT),4.5,2.09,36
GGA(HPO),4.61,2.3,36
HABO(HPO),4.75,2.59,36
SWAY(SCT),4.78,2.78,36
