problem_name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32
7z,FLASH,PromiseTune,PSO,ConEx_ES,ATConf,GA,ACO_BestConfig_CMAES,ROBOTune_RandomSearch,BOCA_OtterTune,DE_SWAY,SA,ResTune_Tuneful,HillClimbing,BO,,,,,,,,,,,,,,,,,,
BDBC,ATConf_FLASH_OtterTune,ES,PSO_PromiseTune,ConEx_GA,CMAES_SA,BestConfig_RandomSearch_ROBOTune,DE,ACO,ResTune,BO_SWAY,HillClimbing_Tuneful,BOCA,,,,,,,,,,,,,,,,,,,,
brotli,PSO,ATConf,ConEx,BOCA_CMAES,ES_FLASH,BestConfig_GA_OtterTune,DE_ROBOTune_RandomSearch,BO,PromiseTune_SA_Tuneful,ACO_ResTune,SWAY,HillClimbing,,,,,,,,,,,,,,,,,,,,
CNN-Cifar10,DEHB_ES_PSO_SMAC,CMAES_DE_GA_RandomSearch_UQGuided_irace,BO_GGA_HEBO_Hyperband,BOHB,ACO_HABO,SA,HillClimbing,ParamILS,,,,,,,,,,,,,,,,,,,,,,,,
CNN-ColorectalHistology,BO_DEHB_ES_PSO_SMAC_UQGuided,Hyperband_SA_irace,BOHB_CMAES_DE_GA_GGA_HABO_HEBO_RandomSearch,ACO,HillClimbing,ParamILS,,,,,,,,,,,,,,,,,,,,,,,,,,
dconvert,ES_FLASH_OtterTune,ATConf,ConEx_PSO_PromiseTune_ROBOTune,ACO_CMAES_SA,GA,BOCA_BestConfig_RandomSearch,DE,Tuneful,HillClimbing_SWAY,BO_ResTune,,,,,,,,,,,,,,,,,,,,,,
deeparch,FLASH_OtterTune_PromiseTune,ATConf_CMAES_ES_PSO,ConEx,GA,BestConfig_RandomSearch_ROBOTune,SA,BOCA,Tuneful,DE,ACO,SWAY,HillClimbing,BO_ResTune,,,,,,,,,,,,,,,,,,,
Dune,ATConf_FLASH_PromiseTune,CMAES_ES_PSO,OtterTune,ConEx,DE_HillClimbing_ROBOTune_Tuneful,SA,RandomSearch,ACO_BOCA_BestConfig_GA,SWAY,BO_ResTune,,,,,,,,,,,,,,,,,,,,,,
exastencils,ES,ATConf_PromiseTune,ConEx_PSO,OtterTune,CMAES,FLASH,BestConfig_DE,ACO_GA_RandomSearch_SA,ROBOTune_SWAY,HillClimbing,BO,BOCA,ResTune,Tuneful,,,,,,,,,,,,,,,,,,
FastDownward,BO,BOCA_CMAES_ResTune_Tuneful,ConEx,FLASH_OtterTune_RandomSearch,PSO,DE,ROBOTune,BestConfig_SWAY,ATConf_ES_GA,PromiseTune,ACO_SA,HillClimbing,,,,,,,,,,,,,,,,,,,,
FCNet-NavalPropulsion,ES_HEBO,DEHB,PSO,SMAC,irace,CMAES_GA_ParamILS,UQGuided,GGA,BOHB_RandomSearch,HillClimbing_Hyperband_SA,DE_HABO,BO,ACO,,,,,,,,,,,,,,,,,,,
FCNet-ParkinsonsTelemonitoring,HEBO,ES,SMAC,PSO_irace,DEHB_ParamILS,ACO_CMAES_GA,HillClimbing_UQGuided,DE_RandomSearch,BOHB_GGA_HABO_Hyperband_SA,BO,,,,,,,,,,,,,,,,,,,,,,
FCNet-ProteinStructure,HEBO,ES,PSO,DEHB,HillClimbing_SMAC_irace,CMAES_ParamILS,BOHB_GA_UQGuided,ACO_Hyperband,RandomSearch_SA,DE_GGA_HABO,BO,,,,,,,,,,,,,,,,,,,,,
FCNet-SliceLocalization,HEBO_SMAC,ES_irace,DEHB_PSO,CMAES_GA_HillClimbing_ParamILS,UQGuided,BOHB_RandomSearch,ACO_DE_GGA_HABO_Hyperband_SA,BO,,,,,,,,,,,,,,,,,,,,,,,,
hipacc,OtterTune,ATConf,ConEx_ES_PromiseTune,CMAES_FLASH_ROBOTune,BestConfig_GA_PSO,RandomSearch_Tuneful,ACO_BOCA_SA_SWAY,DE,BO,ResTune,HillClimbing,,,,,,,,,,,,,,,,,,,,,
HSMGP,ATConf_FLASH_OtterTune,ES_ROBOTune,BOCA_CMAES_ConEx_PSO,PromiseTune,SA_Tuneful,ACO_GA,HillClimbing,BestConfig_DE,RandomSearch,SWAY,BO_ResTune,,,,,,,,,,,,,,,,,,,,,
HSQLDB,ES_PSO,ATConf_FLASH,ConEx,OtterTune,BO_CMAES_Tuneful,DE_GA_ResTune,BOCA_BestConfig_ROBOTune_RandomSearch,ACO_PromiseTune,SWAY,HillClimbing,SA,,,,,,,,,,,,,,,,,,,,,
javagc,SWAY,ATConf_ConEx_ES,FLASH,PSO,ACO_OtterTune_ROBOTune,CMAES,GA,BestConfig_PromiseTune_RandomSearch,BO_BOCA_DE_ResTune,SA,Tuneful,HillClimbing,,,,,,,,,,,,,,,,,,,,
jump3r,ATConf_ES_PSO,ConEx_FLASH_OtterTune,CMAES,ACO_GA_PromiseTune_ROBOTune,BestConfig_RandomSearch,BO_ResTune,BOCA_DE_SA,SWAY,Tuneful,HillClimbing,,,,,,,,,,,,,,,,,,,,,,
kanzi,ATConf_PSO,BOCA_ES,CMAES_ConEx_FLASH_OtterTune,ACO_GA,DE_PromiseTune_ROBOTune_SA_Tuneful,BestConfig_RandomSearch,SWAY,ResTune,BO,HillClimbing,,,,,,,,,,,,,,,,,,,,,,
LLVM,ES_HillClimbing_PromiseTune_SA_Tuneful,BOCA,CMAES,ConEx_PSO,FLASH,ATConf_OtterTune,ROBOTune_SWAY,ACO_GA,BestConfig_RandomSearch,DE_ResTune,BO,,,,,,,,,,,,,,,,,,,,,
MariaDB,ES_FLASH,ATConf_OtterTune_PSO,ACO_PromiseTune_SA_SWAY,CMAES_ConEx_GA,BOCA_BestConfig_RandomSearch_Tuneful,ROBOTune,DE,HillClimbing,BO_ResTune,,,,,,,,,,,,,,,,,,,,,,,
moe,ES_HEBO,DEHB_PSO_UQGuided_irace,CMAES_DE_GGA_SMAC,ParamILS_RandomSearch_SA,BO_BOHB_GA_HABO_Hyperband,ACO,HillClimbing,,,,,,,,,,,,,,,,,,,,,,,,,
MySQL,PromiseTune,ES_FLASH,CMAES_PSO_SA,ATConf,ConEx,OtterTune,GA_SWAY,ACO,BOCA_BestConfig_DE_RandomSearch,ROBOTune_ResTune_Tuneful,HillClimbing,BO,,,,,,,,,,,,,,,,,,,,
nginx,FLASH,PSO_PromiseTune,ES,ATConf_ConEx,GA_OtterTune,BestConfig_CMAES_SA,DE_ROBOTune_RandomSearch,ACO,BO_BOCA,Tuneful,ResTune,HillClimbing_SWAY,,,,,,,,,,,,,,,,,,,,
nn-10101,ES_GGA_SMAC,ACO_BOHB_GA_HEBO_Hyperband_PSO_irace,CMAES_DE_DEHB_HABO_RandomSearch_SA_UQGuided,ParamILS,HillClimbing,BO,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146818,CMAES_UQGuided_DE_GA_irace_GGA_HABO_HEBO_PSO_RandomSearch_SMAC,ACO_BOHB_DEHB_ES_HillClimbing_Hyperband_ParamILS_SA,BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146821,ACO_BOHB_CMAES_DE_DEHB_ES_GA_HEBO_Hyperband_SMAC_PSO_RandomSearch_UQGuided_irace,GGA_HABO_HillClimbing_ParamILS_SA,BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nn-146822,DEHB_ES_HEBO,BOHB_SMAC,CMAES,irace,ACO_GA_PSO,Hyperband,DE_UQGuided_HABO_ParamILS_RandomSearch_SA,BO_GGA_HillClimbing,,,,,,,,,,,,,,,,,,,,,,,,
nn-31,DEHB_HEBO_Hyperband,BOHB_ES_SMAC,irace,GA_UQGuided_PSO,ACO_DE,HABO,RandomSearch_SA,CMAES_GGA_HillClimbing_ParamILS,BO,,,,,,,,,,,,,,,,,,,,,,,
nn-3917,ES_HEBO_SMAC,PSO_irace,DEHB,BOHB_CMAES,GA_Hyperband,ACO_DE_GGA_HABO_UQGuided,ParamILS_SA,RandomSearch,HillClimbing,BO,,,,,,,,,,,,,,,,,,,,,,
nn-53,HEBO,ES,SMAC,DEHB_irace,CMAES_GA_PSO,SA,ParamILS,BOHB_GGA,ACO_DE_UQGuided,HABO_HillClimbing_Hyperband_RandomSearch,BO,,,,,,,,,,,,,,,,,,,,,
nn-9952,BOHB_CMAES_DEHB_ES_HEBO_SMAC,GA_Hyperband_irace,GGA_SA_PSO_RandomSearch_UQGuided,DE_ParamILS,ACO_HABO,HillClimbing,BO,,,,,,,,,,,,,,,,,,,,,,,,,
