optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
HEBO(HPO),1.32,0.78,47,,,0,1.32,0.78,47
ES(general),1.53,0.83,47,2.58,1.66,36,1.99,1.36,83
DEHB(HPO),1.77,1.11,47,,,0,1.77,1.11,47
SMAC(HPO),1.85,1.27,47,,,0,1.85,1.27,47
irace(HPO),2.28,1.25,47,,,0,2.28,1.25,47
PSO(general),2.51,1.4,47,2.69,1.45,36,2.59,1.41,83
GA(general),2.66,1.67,47,5.44,1.92,36,3.87,2.25,83
CMAES(general),2.66,1.67,47,4.53,2.13,36,3.47,2.09,83
BOHB(HPO),2.96,2.17,47,,,0,2.96,2.17,47
Hyperband(HPO),3.11,2.56,47,,,0,3.11,2.56,47
UQGuided(HPO),3.43,2.08,47,,,0,3.43,2.08,47
DE(general),3.66,2.59,47,7.31,2.07,36,5.24,2.98,83
GGA(HPO),3.89,2.53,47,,,0,3.89,2.53,47
ParamILS(HPO),3.89,2.01,47,,,0,3.89,2.01,47
RandomSearch(general),3.96,2.72,47,6.61,1.89,36,5.11,2.72,83
SA(general),4.34,2.5,47,6.75,2.83,36,5.39,2.89,83
HillClimbing(general),4.57,2.31,47,9.25,2.94,36,6.6,3.48,83
ACO(general),4.72,2.62,47,6.25,2.2,36,5.39,2.55,83
HABO(HPO),4.79,2.52,47,,,0,4.79,2.52,47
BO(general),5.94,2.82,47,8.78,3.15,36,7.17,3.27,83
ATConf(SCT),,,0,2.75,1.9,36,2.75,1.9,36
FLASH(SCT),,,0,2.33,1.55,36,2.33,1.55,36
PromiseTune(SCT),,,0,3.47,2.95,36,3.47,2.95,36
OtterTune(SCT),,,0,3.56,2.17,36,3.56,2.17,36
ConEx(SCT),,,0,3.58,1.76,36,3.58,1.76,36
ROBOTune(SCT),,,0,5.64,2.34,36,5.64,2.34,36
Tuneful(SCT),,,0,7.33,3.54,36,7.33,3.54,36
BOCA(SCT),,,0,6.47,3.08,36,6.47,3.08,36
BestConfig(SCT),,,0,6.5,1.7,36,6.5,1.7,36
SWAY(SCT),,,0,7.0,3.11,36,7.0,3.11,36
ResTune(SCT),,,0,9.06,2.7,36,9.06,2.7,36
