optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
FLASH(SCT),2.83,2.01,36
ES(general),3.36,2.27,36
HEBO(HPO),3.42,2.72,36
ATConf(SCT),3.42,2.39,36
PSO(general),3.44,1.58,36
DEHB(HPO),4.0,1.9,36
irace(HPO),4.14,1.9,36
SMAC(HPO),4.61,4.59,36
PromiseTune(SCT),4.72,3.97,36
OtterTune(SCT),4.75,2.92,36
ConEx(SCT),4.86,2.32,36
UQGuided(HPO),5.72,2.85,36
CMAES(general),6.17,2.42,36
GA(general),7.17,2.29,36
ROBOTune(SCT),7.78,3.53,36
BOHB(HPO),7.92,2.9,36
ACO(general),8.47,3.05,36
GGA(HPO),8.5,2.35,36
HABO(HPO),8.56,3.24,36
BOCA(SCT),8.58,3.75,36
Hyperband(HPO),8.72,2.41,36
BestConfig(SCT),8.86,2.24,36
RandomSearch(general),8.92,2.45,36
SA(general),9.28,3.75,36
SWAY(SCT),9.42,4.29,36
Tuneful(SCT),9.64,4.81,36
DE(general),9.78,2.79,36
ParamILS(HPO),9.86,3.79,36
BO(general),11.67,4.22,36
ResTune(SCT),11.92,3.66,36
HillClimbing(general),12.19,4.13,36
