optimizer_name_with_category,avg_rank,rank_std,problem_count
FLASH(SCT),2.23,1.69,83
HEBO(HPO),2.43,2.31,83
ES(general),2.48,1.92,83
DEHB(HPO),2.9,1.97,83
ATConf(SCT),3.06,2.39,83
PSO(general),3.16,1.71,83
irace(HPO),3.28,1.86,83
SMAC(HPO),3.3,3.5,83
OtterTune(SCT),3.39,2.68,83
PromiseTune(SCT),3.59,3.55,83
ConEx(SCT),3.92,2.28,83
CMAES(general),4.63,2.77,83
UQGuided(HPO),4.89,2.97,83
GA(general),5.02,3.03,83
ROBOTune(SCT),5.12,3.88,83
BOHB(HPO),5.59,3.76,83
Hyperband(HPO),6.06,3.91,83
Tuneful(SCT),6.16,5.58,83
GGA(HPO),6.39,3.61,83
BestConfig(SCT),6.61,3.69,83
RandomSearch(general),6.64,3.77,83
DE(general),6.83,4.19,83
ParamILS(HPO),6.93,4.19,83
ACO(general),6.95,3.67,83
HABO(HPO),6.96,3.73,83
SA(general),7.05,4.15,83
BOCA(SCT),7.45,3.76,83
SWAY(SCT),8.05,4.0,83
HillClimbing(general),8.46,4.85,83
BO(general),9.33,4.49,83
ResTune(SCT),9.43,4.42,83
