optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
HEBO(HPO),1.68,1.59,47
FLASH(SCT),1.77,1.24,47
ES(general),1.81,1.24,47
DEHB(HPO),2.06,1.59,47
SMAC(HPO),2.3,1.84,47
OtterTune(SCT),2.34,1.94,47
irace(HPO),2.62,1.55,47
PromiseTune(SCT),2.72,2.95,47
ATConf(SCT),2.79,2.38,47
PSO(general),2.94,1.8,47
ROBOTune(SCT),3.09,2.75,47
ConEx(SCT),3.19,1.99,47
GA(general),3.38,2.46,47
CMAES(general),3.45,2.43,47
Tuneful(SCT),3.49,4.59,47
BOHB(HPO),3.81,3.37,47
Hyperband(HPO),4.02,3.61,47
UQGuided(HPO),4.26,2.93,47
DE(general),4.57,3.66,47
ParamILS(HPO),4.68,2.92,47
GGA(HPO),4.77,3.58,47
RandomSearch(general),4.89,3.68,47
BestConfig(SCT),4.89,3.67,47
SA(general),5.34,3.61,47
HillClimbing(general),5.6,3.1,47
HABO(HPO),5.74,3.65,47
ACO(general),5.79,3.71,47
BOCA(SCT),6.57,3.57,47
SWAY(SCT),7.0,3.46,47
BO(general),7.53,3.86,47
ResTune(SCT),7.53,4.01,47
