problem,top3_optimizers,rank1_optimizers,rank2_optimizers,rank3_optimizers
7z,FLASH_HEBO_PSO_PromiseTune,FLASH,HEBO,PSO_PromiseTune
BDBC,FLASH_ATConf_HEBO_OtterTune_ES,FLASH,ATConf_HEBO_OtterTune,ES
brotli,SMAC_DEHB_PSO,SMAC,DEHB,PSO
CNN-Cifar10,DEHB_ES_PSO_SMAC_ConEx_ATConf,DEHB_ES_PSO_SMAC,ConEx,ATConf
CNN-ColorectalHistology,SWAY_FLASH_PromiseTune_UQGuided_PSO_SMAC,SWAY,FLASH_PromiseTune_UQGuided,PSO_SMAC
dconvert,ATConf_ES_FLASH_HEBO_OtterTune_DEHB_irace_PSO_PromiseTune,ATConf_ES_FLASH_HEBO_OtterTune,DEHB_irace,PSO_PromiseTune
deeparch,FLASH_HEBO_OtterTune_PromiseTune_DEHB_ES_irace,FLASH_HEBO_OtterTune,PromiseTune,DEHB_ES_irace
Dune,FLASH_PromiseTune_HEBO_ATConf_PSO_SMAC_irace,FLASH_PromiseTune_HEBO,ATConf_PSO,SMAC_irace
exastencils,HEBO_ES_ATConf_PromiseTune,HEBO,ES,ATConf_PromiseTune
FastDownward,BO_BOCA_CMAES_Hyperband_ResTune_Tuneful_DEHB_HABO,BO,BOCA_CMAES_Hyperband_ResTune_Tuneful,DEHB_HABO
FCNet-NavalPropulsion,DEHB_ES_HEBO_PSO_SMAC,DEHB_ES_HEBO,PSO,SMAC
FCNet-ParkinsonsTelemonitoring,HEBO_ES_SMAC,HEBO,ES,SMAC
FCNet-ProteinStructure,HEBO_PromiseTune_ES_OtterTune,HEBO,PromiseTune,ES_OtterTune
FCNet-SliceLocalization,HEBO_SMAC_ES_irace_DEHB_PSO,HEBO_SMAC,ES_irace,DEHB_PSO
hipacc,ATConf_ConEx_OtterTune_ES_HEBO_PromiseTune_irace,ATConf_ConEx_OtterTune,ES,HEBO_PromiseTune_irace
HSMGP,ATConf_FLASH_HEBO_OtterTune_SMAC_DEHB_ES_ROBOTune_UQGuided_BOCA_CMAES_ConEx_PSO_irace,ATConf_FLASH_HEBO_OtterTune_SMAC,DEHB_ES_ROBOTune_UQGuided,BOCA_CMAES_ConEx_PSO_irace
HSQLDB,ES_PSO_SMAC_ATConf_DEHB_FLASH_irace,ES_PSO_SMAC,ATConf_DEHB_FLASH,irace
javagc,SWAY_ATConf_ES_UQGuided_ConEx_FLASH_SMAC,SWAY,ATConf_ES_UQGuided,ConEx_FLASH_SMAC
jump3r,ATConf_ES_SMAC_DEHB_HEBO_PSO,ATConf_ES_SMAC,DEHB,HEBO_PSO
kanzi,SMAC_ATConf_PSO_DEHB,SMAC,ATConf_PSO,DEHB
LLVM,HEBO_HillClimbing_ParamILS_PromiseTune_SA_Tuneful_UQGuided_ES_irace_DEHB,HEBO_HillClimbing_ParamILS_PromiseTune_SA_Tuneful_UQGuided,ES_irace,DEHB
MariaDB,HEBO_SMAC_DEHB_ES_FLASH_irace_ATConf_OtterTune_PSO_UQGuided,HEBO_SMAC,DEHB_ES_FLASH_irace,ATConf_OtterTune_PSO_UQGuided
moe,ATConf_ES_FLASH_HEBO_PromiseTune_ConEx_DEHB_ROBOTune_irace_BestConfig_CMAES_DE_GGA_PSO_UQGuided,ATConf_ES_FLASH_HEBO_PromiseTune,ConEx_DEHB_ROBOTune_irace,BestConfig_CMAES_DE_GGA_PSO_UQGuided
MySQL,SMAC_PromiseTune_ES_FLASH_HEBO,SMAC,PromiseTune,ES_FLASH_HEBO
nginx,FLASH_HEBO_UQGuided_PromiseTune,FLASH,HEBO_UQGuided,PromiseTune
nn-10101,ATConf_ES_SMAC_SWAY_Tuneful_BOCA_BOHB_ConEx_GGA_HEBO_Hyperband_irace_ACO_FLASH_GA_PSO,ATConf_ES_SMAC_SWAY_Tuneful,BOCA_BOHB_ConEx_GGA_HEBO_Hyperband_irace,ACO_FLASH_GA_PSO
nn-146818,ATConf_BOCA_GA_irace_BestConfig_ConEx_RandomSearch_CMAES_ROBOTune_UQGuided_DE_ES_FLASH_GGA_HABO_HEBO_OtterTune_PSO_PromiseTune_SMAC_Tuneful_ACO_DEHB_Hyperband_ParamILS_SA_BOHB_HillClimbing,ATConf_BOCA_GA_irace_BestConfig_ConEx_RandomSearch_CMAES_ROBOTune_UQGuided_DE_ES_FLASH_GGA_HABO_HEBO_OtterTune_PSO_PromiseTune_SMAC_Tuneful,ACO_DEHB_Hyperband_ParamILS_SA,BOHB_HillClimbing
nn-146821,ACO_ATConf_BOHB_CMAES_DE_DEHB_ES_FLASH_GA_HEBO_Hyperband_SMAC_BOCA_BestConfig_PSO_RandomSearch_ConEx_OtterTune_UQGuided_irace_GGA_HABO_HillClimbing_ParamILS_PromiseTune_ROBOTune_Tuneful_SA,ACO_ATConf_BOHB_CMAES_DE_DEHB_ES_FLASH_GA_HEBO_Hyperband_SMAC,BOCA_BestConfig_PSO_RandomSearch_ConEx_OtterTune_UQGuided_irace,GGA_HABO_HillClimbing_ParamILS_PromiseTune_ROBOTune_Tuneful_SA
nn-146822,DEHB_HEBO_BOHB_ES_FLASH_OtterTune_SMAC_Tuneful_CMAES_ROBOTune,DEHB_HEBO,BOHB_ES_FLASH_OtterTune_SMAC_Tuneful,CMAES_ROBOTune
nn-31,BOHB_DEHB_FLASH_HEBO_Hyperband_ES_SMAC_SWAY_Tuneful_OtterTune_irace,BOHB_DEHB_FLASH_HEBO_Hyperband,ES_SMAC_SWAY_Tuneful,OtterTune_irace
