"problem","feature_vector","rank1_optimizers"
"7z","4,2,1,4,4,2,3,3","FLASH"
"BDBC","4,1,2,4,1,3,4,4","FLASH"
"brotli","4,1,4,4,1,2,2,3","SMAC"
"CNN-Cifar10","1,2,4,4,4,1,2,3","DEHB_ES_PSO_SMAC"
"CNN-ColorectalHistology","4,2,4,4,4,1,2,3","SWAY"
"dconvert","4,2,3,2,1,1,3,2","ATConf_ES_FLASH_HEBO_OtterTune"
"deeparch","2,1,1,2,4,4,4,4","FLASH_HEBO_OtterTune"
"Dune","4,2,1,4,4,2,4,4","FLASH_PromiseTune_HEBO"
"exastencils","2,3,1,2,1,3,3,4","HEBO"
"FastDownward","4,1,3,4,1,1,3,3","BO"
"FCNet-NavalPropulsion","1,4,1,4,4,1,2,2","DEHB_ES_HEBO"
"FCNet-ParkinsonsTelemonitoring","4,4,1,4,4,1,2,2","HEBO"
"FCNet-ProteinStructure","2,4,1,4,4,1,2,2","HEBO"
"FCNet-SliceLocalization","2,4,1,4,4,1,1,2","HEBO_SMAC"
"hipacc","1,1,2,2,1,2,3,3","ATConf_ConEx_OtterTune"
"HSMGP","2,1,1,4,4,4,2,3","ATConf_FLASH_HEBO_OtterTune_SMAC"
"HSQLDB","2,2,3,4,4,1,4,4","ES_PSO_SMAC"
"javagc","4,4,4,4,4,2,3,3","SWAY"
"jump3r","2,1,4,4,4,4,3,4","ATConf_ES_SMAC"
"kanzi","4,1,4,4,4,2,3,4","SMAC"
"LLVM","4,1,1,4,4,4,4,4","HEBO_HillClimbing_ParamILS_PromiseTune_SA_Tuneful_UQGuided"
"MariaDB","4,2,2,1,4,2,4,4","HEBO_SMAC"
"moe","2,4,3,1,4,1,2,1","ATConf_ES_FLASH_HEBO_PromiseTune"
"MySQL","4,2,2,2,1,3,4,4","SMAC"
"nginx","1,1,1,1,4,3,3,4","FLASH"
"nn-10101","4,4,3,1,4,1,2,1","ATConf_ES_SMAC_SWAY_Tuneful"
"nn-146818","4,4,2,2,1,1,3,1","ATConf_BOCA_GA_irace_BestConfig_ConEx_RandomSearch_CMAES_ROBOTune_UQGuided_DE_ES_FLASH_GGA_HABO_HEBO_OtterTune_PSO_PromiseTune_SMAC_Tuneful"
"nn-146821","4,2,3,1,4,2,3,1","ACO_ATConf_BOHB_CMAES_DE_DEHB_ES_FLASH_GA_HEBO_Hyperband_SMAC"
"nn-146822","1,3,3,2,1,2,3,1","DEHB_HEBO"
"nn-31","4,3,3,1,4,2,3,1","BOHB_DEHB_FLASH_HEBO_Hyperband"
"nn-3917","4,4,2,1,4,1,2,2","ES_PromiseTune_SMAC"
"nn-53","2,4,2,2,4,1,3,1","HEBO"
"nn-9952","4,3,2,2,4,2,2,1","BOHB_CMAES_DEHB_ES_FLASH_HEBO_OtterTune_SMAC_Tuneful_ROBOTune"
"noc-CM-log","2,2,1,4,4,3,4,3","ATConf_ConEx_DEHB_ES_FLASH_HABO_HEBO_HillClimbing_OtterTune_PSO_ParamILS_PromiseTune_ROBOTune_Tuneful_irace_BOCA"
"OpenVPN","4,1,3,2,4,3,4,4","SMAC"
"Opus","4,2,2,4,4,2,4,4","SMAC"
"polly","4,1,4,4,1,2,4,4","SMAC"
"PostgreSQL","4,4,2,4,1,2,3,1","FLASH_PromiseTune"
"redis","4,4,4,4,1,1,4,3","BO"
"rf-10101","1,2,3,1,4,3,1,2","ATConf_BOHB_BestConfig_CMAES_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HEBO_Hyperband_OtterTune_PSO_PromiseTune_ROBOTune_RandomSearch_SA_SMAC_Tuneful_irace"
"rf-146195","4,3,2,4,4,4,1,3","DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_ES_irace"
"rf-146212","2,2,2,1,4,3,3,3","ATConf_BOHB_BestConfig_ConEx_DE_DEHB_ES_FLASH_GGA_HEBO_Hyperband_OtterTune_PSO_PromiseTune_ROBOTune_RandomSearch_SMAC_Tuneful_UQGuided_irace_CMAES_GA_ParamILS"
"rf-146818","4,2,3,4,4,4,2,2","FLASH_SMAC_HEBO"
"rf-146821","4,3,2,4,4,4,1,3","DEHB_ES_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_Tuneful_SMAC"
"rf-146822","4,2,3,2,4,4,2,2","ACO_HillClimbing_ATConf_BOHB_BestConfig_CMAES_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HEBO_Hyperband_OtterTune_PSO_ParamILS_PromiseTune_ROBOTune_RandomSearch_SA_SMAC_Tuneful_UQGuided_irace"
"rf-14965","1,2,2,4,4,4,1,2","DEHB_ES_FLASH_GA_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace"
"rf-167119","2,2,2,1,4,4,2,2","ATConf_BOHB_ConEx_DEHB_ES_FLASH_GA_HEBO_OtterTune_PSO_PromiseTune_SMAC_Tuneful_BestConfig_RandomSearch_Hyperband_ROBOTune_UQGuided_irace"
"rf-168329","4,3,2,4,4,2,1,2","HEBO_Tuneful"
"rf-168330","1,3,4,1,4,2,2,2","Tuneful"
"rf-168331","4,3,1,4,4,4,1,2","ATConf_CMAES_DEHB_ES_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_irace"
"rf-168335","4,2,3,2,1,4,2,2","ATConf_BOHB_BestConfig_CMAES_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HABO_HEBO_Hyperband_OtterTune_PSO_ParamILS_PromiseTune_ROBOTune_RandomSearch_SA_SMAC_Tuneful_UQGuided_irace"
"rf-168868","4,3,2,1,4,2,1,2","CMAES_DEHB_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_Tuneful_SMAC"
"rf-168908","1,2,3,1,4,4,2,2","ACO_ATConf_BOHB_BestConfig_CMAES_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HEBO_Hyperband_OtterTune_PSO_ParamILS_PromiseTune_ROBOTune_RandomSearch_SA_SMAC_Tuneful_irace"
"rf-168910","1,3,2,4,4,3,2,2","ATConf_BOHB_DEHB_ES_FLASH_HEBO_OtterTune_PromiseTune_ROBOTune_SMAC_Tuneful_PSO"
"rf-7592","1,3,3,1,4,3,1,2","OtterTune_Tuneful"
"rf-9952","2,3,2,2,1,3,2,2","ATConf_DEHB_FLASH_OtterTune_PromiseTune_ROBOTune_Tuneful_BOHB_CMAES_ES_HEBO_Hyperband_SMAC"
"rf-9977","4,3,3,2,1,4,1,2","ATConf_BOHB_ConEx_DE_DEHB_ES_FLASH_GA_HEBO_Hyperband_OtterTune_PSO_PromiseTune_ROBOTune_Tuneful"
"rf-9981","1,3,1,1,4,2,1,3","DEHB_HEBO_ES_PromiseTune_Tuneful"
"rs-6d-c3","1,4,1,4,4,1,4,1","PromiseTune"
"sac","1,2,4,4,4,1,3,3","SWAY"
"spark","4,4,4,4,4,1,4,2","FLASH"
"spear","1,1,1,4,4,4,3,4","Tuneful"
"SQL","4,1,4,1,4,2,4,3","ES_OtterTune"
"sqlite","2,1,4,2,1,1,4,4","ROBOTune"
"storm","4,4,1,4,1,1,2,1","ES_FLASH_HEBO_PromiseTune"
"tomcat","1,4,4,4,4,1,4,3","ATConf_SMAC"
"VP8","4,2,1,4,4,3,3,4","PromiseTune_SMAC"
"vp9","2,1,4,4,4,3,2,3","ATConf_PSO_FLASH_SMAC"
"wc-5d-c5","4,1,1,1,4,3,4,3","ES_HEBO_OtterTune_PromiseTune_UQGuided_FLASH_irace"
"x264","2,1,1,2,1,2,4,4","ATConf_PSO"
"xgb-10101","2,3,4,1,4,4,1,1","ATConf_BestConfig_CMAES_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HEBO_Hyperband_OtterTune_PSO_ParamILS_PromiseTune_RandomSearch_Tuneful_UQGuided_irace_BOHB_ROBOTune_SA"
"xgb-146818","1,3,4,1,4,4,1,1","BOHB_FLASH_OtterTune_Tuneful"
"xgb-146821","1,4,3,4,4,3,1,1","BestConfig_RandomSearch_ES_FLASH_GGA_HEBO"
"xgb-146822","1,4,4,4,4,3,1,1","BOHB_GGA_SA_SMAC_HEBO_Hyperband_OtterTune_PSO_Tuneful_UQGuided"
"xgb-167119","4,3,4,1,4,3,1,1","ATConf_BOHB_BestConfig_ConEx_DE_DEHB_ES_FLASH_GA_GGA_HEBO_Hyperband_PromiseTune_ROBOTune_RandomSearch_Tuneful_UQGuided_irace_OtterTune_ParamILS_PSO_SMAC"
"xgb-3","2,4,4,4,4,3,1,1","FLASH_SMAC_PromiseTune"
"xgb-31","2,4,3,2,1,3,1,1","ATConf_OtterTune"
"xgb-3917","1,4,3,2,4,2,1,1","DE_FLASH_ROBOTune_RandomSearch"
