metric,label,interval,sample_count,sample_ratio(%),problem_count,method,source
FDC,Low,"[-∞, 0.045]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
FDC,Medium-Low,"(0.045, 0.147]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
FDC,Medium-High,"(0.147, 0.336]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
FDC,High,"(0.336, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
FBD,Low,"[0.000, 1.456]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
FBD,Medium-Low,"(1.456, 13.510]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
FBD,Medium-High,"(13.510, 67.669]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
FBD,High,"(67.669, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
PLO,Low,"[0.000, 0.013]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
PLO,Medium-Low,"(0.013, 0.068]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
PLO,Medium-High,"(0.068, 0.157]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
PLO,High,"(0.157, 1.000]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
NBC,Low,"[0.000, 0.022]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
NBC,Medium-Low,"(0.022, 0.113]",22,26.51,22,Quartile 4-division,Q0/Q25/Q50/Q75
NBC,Medium-High,"(0.113, 0.879]",19,22.89,19,Quartile 4-division,Q0/Q25/Q50/Q75
NBC,High,"(0.879, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Skewness,Low,"[-∞, 0.149]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Skewness,Medium-Low,"(0.149, 0.903]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Skewness,Medium-High,"(0.903, 2.079]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
Skewness,High,"(2.079, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Kurtosis,Low,"[-∞, -0.892]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Kurtosis,Medium-Low,"(-0.892, 0.501]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
Kurtosis,Medium-High,"(0.501, 4.974]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
Kurtosis,High,"(4.974, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
CL,Low,"[0.000, 0.806]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
CL,Medium-Low,"(0.806, 2.026]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
CL,Medium-High,"(2.026, 3.143]",20,24.1,20,Quartile 4-division,Q0/Q25/Q50/Q75
CL,High,"(3.143, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
MIE,Low,"[0.000, 0.583]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
MIE,Medium-Low,"(0.583, 0.747]",22,26.51,22,Quartile 4-division,Q0/Q25/Q50/Q75
MIE,Medium-High,"(0.747, 0.817]",19,22.89,19,Quartile 4-division,Q0/Q25/Q50/Q75
MIE,High,"(0.817, ∞]",21,25.3,21,Quartile 4-division,Q0/Q25/Q50/Q75
