problem,budget,final_budget
7z,308.0,308
BDBC,189.0,189
CNN-Cifar10,306.0,306
CNN-ColorectalHistology,221.0,221
Dune,198.0,198
FCNet-NavalPropulsion,654.0,654
FCNet-ParkinsonsTelemonitoring,307.0,307
FCNet-ProteinStructure,281.0,281
FCNet-SliceLocalization,317.0,317
FastDownward,280.0,280
HSMGP,209.0,209
HSQLDB,281.0,281
LLVM,290.0,290
MariaDB,268.0,268
MySQL,366.0,366
OpenVPN,224.0,224
Opus,299.0,299
PostgreSQL,252.0,252
SQL,190.0,190
VP8,315.0,315
brotli,267.0,267
dconvert,184.0,184
deeparch,234.0,234
exastencils,338.0,338
hipacc,287.0,287
javagc,343.0,343
jump3r,320.0,320
kanzi,311.0,311
moe,217.0,217
nginx,261.0,261
nn-10101,205.54320987654697,206
nn-146818,112.0,112
nn-146821,102.0,102
nn-146822,160.35802469135956,161
nn-31,193.24691358024975,194
nn-3917,256.8641975308714,257
nn-53,226.1481481481527,227
nn-9952,189.444444444447,190
noc-CM-log,227.0,227
polly,342.0,342
redis,183.0,183
rf-10101,130.0,130
rf-146195,197.0,197
rf-146212,141.0,141
rf-146818,138.0,138
rf-146821,236.0,236
rf-146822,67.0,67
rf-14965,229.0,229
rf-167119,126.0,126
rf-168329,152.0,152
rf-168330,126.0,126
rf-168331,229.0,229
rf-168335,114.0,114
rf-168868,197.63671875,198
rf-168908,113.0,113
rf-168910,326.62109375,327
rf-7592,170.00390625,171
rf-9952,132.0,132
rf-9977,112.0,112
rf-9981,236.0,236
rs-6d-c3,340.0,340
sac,206.0,206
spark,227.0,227
spear,240.0,240
sqlite,229.0,229
storm,234.0,234
tomcat,274.0,274
vp9,329.0,329
wc-5d-c5,228.0,228
x264,229.0,229
xgb-10101,102.91400000000026,103
xgb-146818,106.0,106
xgb-146821,177.0280000000006,178
xgb-146822,176.32400000000058,177
xgb-167119,96.0,96
xgb-3,131.90100000000064,132
xgb-31,181.91400000000067,182
xgb-3917,200.68300000000056,201
xgb-53,181.3230000000006,182
xgb-9952,79.0,79
xgboost-CNAE9,131.0,131
xgboost-Covtype,220.0,220
xgboost-PimaIndiansDiabetes,215.0,215
