optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
ATConf(SCT),2.45,1.18,47,2.11,1.12,36,2.3,1.16,83
ParamILS(HPO),2.45,1.06,47,2.61,1.2,36,2.52,1.12,83
PSO(general),2.51,0.86,47,2.36,1.1,36,2.45,0.97,83
ResTune(SCT),2.53,1.76,47,3.36,2.45,36,2.89,2.11,83
PromiseTune(SCT),2.53,2.39,47,2.92,1.54,36,2.7,2.06,83
FLASH(SCT),2.55,0.85,47,3.03,1.56,36,2.76,1.23,83
ES(general),2.62,1.13,47,2.92,1.57,36,2.75,1.34,83
ConEx(SCT),2.66,0.98,47,3.33,1.62,36,2.95,1.33,83
BOCA(SCT),2.7,1.44,47,3.22,1.96,36,2.93,1.69,83
BO(general),2.72,1.41,47,3.31,2.19,36,2.98,1.8,83
GA(general),2.72,1.26,47,3.67,2.01,36,3.13,1.69,83
RandomSearch(general),2.74,1.09,47,3.5,1.84,36,3.07,1.5,83
DE(general),2.87,1.31,47,3.81,1.92,36,3.28,1.66,83
OtterTune(SCT),2.91,1.73,47,2.31,1.31,36,2.65,1.58,83
SMAC(HPO),2.96,1.46,47,2.25,1.0,36,2.65,1.32,83
CMAES(general),3.06,1.71,47,3.53,1.3,36,3.27,1.55,83
Tuneful(SCT),3.09,1.6,47,3.08,1.7,36,3.08,1.63,83
UQGuided(HPO),3.55,1.59,47,2.81,1.53,36,3.23,1.6,83
DEHB(HPO),3.57,1.72,47,3.0,1.49,36,3.33,1.64,83
BestConfig(SCT),3.6,1.65,47,4.08,2.12,36,3.81,1.87,83
HillClimbing(general),3.62,1.86,47,2.56,1.65,36,3.16,1.84,83
ROBOTune(SCT),3.7,2.02,47,4.5,2.09,36,4.05,2.08,83
HEBO(HPO),3.7,1.61,47,3.47,1.25,36,3.6,1.46,83
irace(HPO),3.81,1.99,47,3.19,1.49,36,3.54,1.8,83
BOHB(HPO),3.81,1.87,47,3.94,1.98,36,3.87,1.91,83
ACO(general),3.83,2.03,47,3.72,1.56,36,3.78,1.83,83
Hyperband(HPO),3.89,1.87,47,3.89,1.92,36,3.89,1.88,83
GGA(HPO),3.94,2.03,47,4.61,2.3,36,4.23,2.16,83
SA(general),4.96,2.03,47,4.06,2.46,36,4.57,2.26,83
HABO(HPO),5.28,2.14,47,4.75,2.59,36,5.05,2.35,83
SWAY(SCT),5.38,2.3,47,4.78,2.78,36,5.12,2.52,83
