optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
a,a,UQGuided,nn-31,0.02,56.0,194.0,,,105,0.0491803278688524
g,a,GA,nn-31,0.02,39.0,193.0,,,105,0.0491803278688524
g,a,BO,nn-31,0.03,3.0,194.0,,,105,0.0491803278688524
a,a,BOHB,nn-31,0.01,364.0,38.5432098765432,,,105,0.1467314308844363
g,a,HillClimbing,nn-31,0.03,2.0,39.0,,,105,0.0327868852459016
a,a,Hyperband,nn-31,0.01,161.0,9.000000000000002,,,105,0.0819672131147541
a,a,HABO,nn-31,0.02,49.0,194.0,,,105,0.2131147540983606
g,a,DE,nn-31,0.03,3.0,194.0,,,105,0.0491803278688524
a,a,DEHB,nn-31,0.02,158.0,8.913580246913583,,,105,0.0811576603926331
g,a,SA,nn-31,0.03,2.0,194.0,,,105,0.0327868852459016
a,a,HEBO,nn-31,0.02,80.0,194.0,,,105,0.4262295081967213
g,a,ES,nn-31,0.02,63.0,194.0,,,105,0.0491803278688524
g,a,PSO,nn-31,0.02,61.0,165.0,,,105,0.0491803278688524
s,s,FLASH,rs-6d-c3,0.0,74.0,340.0,,,105,1.0
s,s,ROBOTune,rs-6d-c3,13000.0,121.0,340.0,,,105,1.6666666666666667
g,s,BO,rs-6d-c3,79000.0,6.0,210.0,,,105,1.0
g,s,ES,rs-6d-c3,0.0,182.0,340.0,,,105,1.0
g,s,HillClimbing,rs-6d-c3,18000.0,23.0,42.0,,,105,3.8333333333333335
s,s,BOCA,rs-6d-c3,13000.0,312.0,340.0,,,105,1.0
g,s,GA,rs-6d-c3,7000.0,281.0,339.0,,,105,1.0
s,s,ATConf,rs-6d-c3,7000.0,340.0,340.0,,,105,1.5
g,s,ACO,rs-6d-c3,0.0,172.0,175.0,,,105,1.8333333333333333
s,s,ConEx,rs-6d-c3,0.0,320.0,340.0,,,105,1.0
s,s,ResTune,rs-6d-c3,75000.0,5.0,153.0,,,105,0.8333333333333334
s,s,OtterTune,rs-6d-c3,13000.0,331.0,340.0,,,105,1.5
g,s,SA,rs-6d-c3,14000.0,32.0,51.0,,,105,1.5
s,s,SWAY,rs-6d-c3,14000.0,4.0,340.0,,,105,0.6666666666666666
g,s,RandomSearch,rs-6d-c3,12000.0,339.0,340.0,,,105,1.0
s,s,BestConfig,rs-6d-c3,13000.0,72.0,340.0,,,105,3.6666666666666665
s,s,Tuneful,rs-6d-c3,58000.0,92.0,340.0,,,105,3.6666666666666665
g,s,DE,rs-6d-c3,15000.0,62.0,340.0,,,105,1.0
g,s,CMAES,rs-6d-c3,12000.0,196.0,334.0,,,105,1.5
g,s,PSO,rs-6d-c3,0.0,91.0,234.0,,,105,1.0
s,s,PromiseTune,rs-6d-c3,0.0,271.0,340.0,,,105,1.0
a,a,BOHB,nn-10101,0.02,671.0,67.56790123456852,,,105,1.2376543209876547
g,a,DE,nn-10101,0.02,27.0,206.0,,,105,0.4166666666666667
