problem_name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32
7z,BO_SWAY,ACO_ATConf_BestConfig_CMAES_ConEx_RandomSearch_DE_ES_FLASH_GA_HillClimbing_Tuneful,BOCA_OtterTune_PSO_PromiseTune_SA,ResTune,ROBOTune,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDBC,BOCA,ATConf_BO_OtterTune_PSO,PromiseTune,ACO_CMAES_DE_ES,FLASH,BestConfig_ConEx_RandomSearch_HillClimbing_ROBOTune_Tuneful,GA_SA,ResTune_SWAY,,,,,,,,,,,,,,,,,,,,,,,,
brotli,ACO_ATConf_BOCA_BestConfig_CMAES_ConEx_RandomSearch_DE_ES_FLASH_GA_HillClimbing_PSO_PromiseTune_ROBOTune_ResTune_Tuneful,BO_SA,OtterTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-Cifar10,BO_DE_ES_RandomSearch,CMAES_DEHB_GA_GGA_HABO_HEBO_HillClimbing_Hyperband_PSO_ParamILS_SMAC_UQGuided_irace,ACO_BOHB_SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-ColorectalHistology,BO_GA_ParamILS,HABO_HEBO_PSO_SMAC_UQGuided,ACO_HillClimbing_SA,DE_ES_RandomSearch,CMAES_DEHB_GGA_Hyperband,BOHB_irace,,,,,,,,,,,,,,,,,,,,,,,,,,
dconvert,OtterTune_ResTune,ACO_ATConf_BO_BOCA_BestConfig_RandomSearch_CMAES_ConEx_DE_ES_FLASH_GA_HillClimbing_PSO_ROBOTune_Tuneful,PromiseTune_SA,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deeparch,ACO_ATConf_BO_BOCA_CMAES_ES_GA_HillClimbing_OtterTune_PSO_ROBOTune_ResTune_Tuneful,PromiseTune,BestConfig_RandomSearch_ConEx_DE_FLASH,SA_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,ATConf_SWAY,ACO_BO_BOCA_CMAES_ConEx_ES_FLASH_HillClimbing_OtterTune_PSO_PromiseTune_ROBOTune_RandomSearch_SA_Tuneful,ResTune,GA,BestConfig_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,
exastencils,ATConf_PSO_Tuneful,BO_BOCA_DE_ES_FLASH_GA_HillClimbing_OtterTune_RandomSearch_ResTune_SA_SWAY,ACO_BestConfig_CMAES_ConEx_PromiseTune,ROBOTune,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FastDownward,HillClimbing_PSO_PromiseTune,ACO_ATConf_BOCA_CMAES_ES_FLASH_GA_SA_Tuneful,BestConfig_DE_OtterTune_ROBOTune,ConEx_RandomSearch_ResTune,BO,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNet-NavalPropulsion,CMAES,ACO_DEHB_GA_HEBO_PSO_ParamILS_SMAC_irace,BO_DE_ES_HillClimbing_RandomSearch_UQGuided,SA,BOHB_GGA_HABO_Hyperband,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNet-ParkinsonsTelemonitoring,ACO_GA_PSO_ParamILS_SMAC,DEHB_ES_HEBO_HillClimbing_RandomSearch_irace,BO_CMAES_DE,BOHB_GGA_Hyperband_UQGuided,HABO_SA,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNet-ProteinStructure,ParamILS,ES_HillClimbing_SMAC,ACO_BO_BOHB_CMAES_DEHB_GA_GGA_HEBO_Hyperband_PSO_RandomSearch_irace,DE_HABO_SA_UQGuided,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCNet-SliceLocalization,CMAES,ES_GA_HillClimbing_PSO_ParamILS_SMAC,BO_DE_RandomSearch_UQGuided,ACO_BOHB_DEHB_HEBO_Hyperband,irace,GGA_HABO_SA,,,,,,,,,,,,,,,,,,,,,,,,,,
hipacc,ACO_ATConf_CMAES_FLASH_HillClimbing_PSO_PromiseTune_Tuneful,BestConfig_ConEx_ES_GA_OtterTune_ROBOTune_RandomSearch,BO_ResTune,BOCA_DE,SA_SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSMGP,BO,ATConf_BOCA_ConEx_FLASH_RandomSearch_DE_ES_GA_OtterTune_PSO_SWAY,ACO_PromiseTune_ROBOTune_ResTune,BestConfig_CMAES_HillClimbing_Tuneful,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,
