optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
ParamILS(HPO),1.36,0.61,47,,,0,1.36,0.61,47
GA(general),1.4,0.65,47,2.75,1.56,36,1.99,1.31,83
PSO(general),1.45,0.58,47,1.94,0.86,36,1.66,0.75,83
ES(general),1.47,0.75,47,2.25,1.02,36,1.81,0.96,83
BO(general),1.49,0.72,47,2.47,1.36,36,1.92,1.15,83
RandomSearch(general),1.53,0.83,47,2.81,1.56,36,2.08,1.35,83
DE(general),1.62,0.87,47,2.92,1.25,36,2.18,1.23,83
SMAC(HPO),1.64,0.61,47,,,0,1.64,0.61,47
CMAES(general),1.74,1.07,47,2.64,1.13,36,2.13,1.18,83
UQGuided(HPO),1.91,0.95,47,,,0,1.91,0.95,47
HEBO(HPO),1.96,0.88,47,,,0,1.96,0.88,47
ACO(general),1.96,1.06,47,2.75,1.18,36,2.3,1.18,83
HillClimbing(general),2.0,1.04,47,2.08,1.2,36,2.04,1.11,83
irace(HPO),2.0,1.27,47,,,0,2.0,1.27,47
DEHB(HPO),2.04,1.1,47,,,0,2.04,1.1,47
GGA(HPO),2.11,1.37,47,,,0,2.11,1.37,47
Hyperband(HPO),2.17,1.22,47,,,0,2.17,1.22,47
BOHB(HPO),2.17,1.32,47,,,0,2.17,1.32,47
SA(general),2.91,1.28,47,3.14,1.53,36,3.01,1.39,83
HABO(HPO),3.17,1.45,47,,,0,3.17,1.45,47
ATConf(SCT),,,0,1.83,0.91,36,1.83,0.91,36
SWAY(SCT),,,0,3.58,1.95,36,3.58,1.95,36
BOCA(SCT),,,0,2.42,0.94,36,2.42,0.94,36
ConEx(SCT),,,0,2.64,1.25,36,2.64,1.25,36
FLASH(SCT),,,0,2.31,1.14,36,2.31,1.14,36
OtterTune(SCT),,,0,2.0,0.99,36,2.0,0.99,36
PromiseTune(SCT),,,0,2.44,1.13,36,2.44,1.13,36
ROBOTune(SCT),,,0,3.44,1.63,36,3.44,1.63,36
Tuneful(SCT),,,0,2.44,1.36,36,2.44,1.36,36
ResTune(SCT),,,0,2.61,1.74,36,2.61,1.74,36
BestConfig(SCT),,,0,3.25,1.56,36,3.25,1.56,36
