optimizer_name,avg_rank,rank_std,problem_count
Tuneful,1.05,0.23,19
HEBO,1.21,0.71,19
OtterTune,1.26,0.56,19
FLASH,1.26,0.56,19
DEHB,1.47,1.02,19
ES,1.47,0.96,19
PromiseTune,1.58,1.3,19
ROBOTune,1.63,1.16,19
SMAC,1.74,1.45,19
ATConf,1.84,1.17,19
irace,2.11,1.41,19
CMAES,2.37,1.46,19
PSO,2.68,2.0,19
ConEx,2.68,1.57,19
GA,2.74,2.1,19
BOHB,2.79,2.1,19
Hyperband,3.11,2.35,19
ParamILS,3.42,2.09,19
DE,3.68,2.54,19
HillClimbing,4.0,2.08,19
UQGuided,4.0,2.52,19
GGA,4.21,2.7,19
BestConfig,4.42,3.19,19
RandomSearch,4.47,3.15,19
SA,4.95,3.22,19
HABO,5.0,2.96,19
ACO,5.32,3.32,19
ResTune,6.47,3.63,19
BO,6.79,3.17,19
BOCA,6.95,3.15,19
SWAY,7.68,3.3,19
