optimizer_name,avg_rank,rank_std,problem_count
PSO,2.67,0.58,3
DEHB,3.33,1.53,3
HEBO,3.33,1.15,3
ATConf,4.0,2.0,3
FLASH,4.67,3.51,3
irace,5.0,1.0,3
ConEx,5.0,1.0,3
ES,5.33,2.31,3
SMAC,5.33,7.51,3
CMAES,5.67,1.15,3
GA,6.33,1.53,3
BOCA,7.67,4.04,3
PromiseTune,7.67,4.51,3
UQGuided,8.0,4.36,3
GGA,8.33,0.58,3
OtterTune,8.33,4.04,3
BOHB,8.33,2.08,3
ACO,9.33,3.21,3
Hyperband,9.33,0.58,3
BestConfig,9.33,0.58,3
RandomSearch,9.67,1.15,3
DE,10.0,2.0,3
ROBOTune,10.0,2.0,3
HABO,10.33,2.08,3
Tuneful,12.0,4.0,3
SWAY,12.33,2.08,3
SA,12.33,3.06,3
ParamILS,12.67,1.53,3
ResTune,13.67,2.08,3
BO,14.0,3.61,3
HillClimbing,15.33,1.53,3
