optimizer_name,avg_rank,rank_std,problem_count
FLASH,2.33,1.15,3
OtterTune,3.0,2.65,3
ATConf,3.0,1.0,3
ES,3.33,1.53,3
irace,3.67,0.58,3
PSO,4.0,0.0,3
UQGuided,4.0,2.0,3
DEHB,4.33,1.15,3
HEBO,5.0,4.58,3
ConEx,5.0,2.0,3
PromiseTune,6.0,5.29,3
CMAES,6.67,2.52,3
SMAC,6.67,8.14,3
ROBOTune,7.33,2.52,3
BOHB,7.67,2.08,3
GA,8.0,2.0,3
Hyperband,9.0,1.0,3
BestConfig,9.0,1.0,3
RandomSearch,9.67,1.53,3
SA,9.67,3.79,3
ACO,10.0,5.0,3
GGA,10.33,1.15,3
SWAY,10.33,8.33,3
BOCA,11.33,1.53,3
HABO,11.33,0.58,3
ParamILS,12.67,2.52,3
DE,12.67,1.15,3
Tuneful,13.33,2.31,3
ResTune,14.33,4.16,3
BO,15.0,3.46,3
HillClimbing,15.67,3.21,3
