optimizer_name,avg_rank,rank_std,problem_count
PromiseTune,1.25,0.5,4
FLASH,1.25,0.5,4
ES,2.25,1.5,4
HEBO,3.0,2.83,4
irace,3.75,2.63,4
DEHB,3.75,1.71,4
PSO,4.0,2.16,4
GA,4.5,1.73,4
ATConf,4.5,1.0,4
ConEx,4.5,1.73,4
UQGuided,5.0,3.37,4
ACO,5.75,1.26,4
OtterTune,5.75,3.2,4
SMAC,7.0,4.32,4
CMAES,7.0,3.37,4
HABO,7.25,2.63,4
BOHB,7.5,2.65,4
ParamILS,7.5,3.32,4
RandomSearch,8.0,1.63,4
ROBOTune,8.25,3.4,4
BestConfig,8.25,1.71,4
GGA,8.25,1.26,4
Hyperband,9.25,1.5,4
SA,9.25,3.59,4
DE,10.0,2.94,4
SWAY,10.0,3.37,4
BOCA,10.0,2.94,4
HillClimbing,10.5,2.89,4
Tuneful,11.75,2.75,4
BO,12.5,3.42,4
ResTune,13.0,3.16,4
