optimizer_name,avg_rank,rank_std,problem_count
FLASH,2.0,1.41,2
SMAC,3.0,2.83,2
PSO,3.0,1.41,2
PromiseTune,3.0,0.0,2
ATConf,3.5,3.54,2
HEBO,4.0,2.83,2
ConEx,4.5,2.12,2
ES,4.5,0.71,2
UQGuided,5.0,4.24,2
irace,6.0,2.83,2
GA,6.0,1.41,2
OtterTune,6.0,1.41,2
BestConfig,6.5,2.12,2
CMAES,6.5,2.12,2
DEHB,6.5,0.71,2
BOHB,7.0,4.24,2
Hyperband,7.0,2.83,2
ROBOTune,7.0,2.83,2
ACO,7.5,3.54,2
RandomSearch,7.5,2.12,2
BO,8.0,4.24,2
GGA,8.0,1.41,2
SA,8.0,0.0,2
BOCA,8.0,4.24,2
DE,8.0,2.83,2
ResTune,9.0,5.66,2
HABO,9.5,0.71,2
SWAY,10.0,5.66,2
Tuneful,10.5,2.12,2
ParamILS,10.5,2.12,2
HillClimbing,12.5,2.12,2
