optimizer_name,avg_rank,rank_std,problem_count
ES,3.25,1.5,4
ATConf,3.5,2.38,4
PSO,3.75,1.26,4
irace,4.0,2.16,4
HEBO,4.25,5.25,4
PromiseTune,5.0,6.06,4
DEHB,5.25,2.06,4
UQGuided,5.25,2.99,4
FLASH,5.25,2.06,4
SMAC,5.75,6.29,4
SWAY,6.25,4.57,4
OtterTune,6.5,2.89,4
Tuneful,6.75,7.14,4
ConEx,7.25,3.86,4
GGA,7.75,3.2,4
CMAES,8.25,3.95,4
BOHB,8.5,2.89,4
BOCA,8.75,5.56,4
ACO,9.0,1.41,4
ParamILS,9.25,5.74,4
SA,9.5,6.24,4
BestConfig,9.75,0.96,4
GA,9.75,1.26,4
Hyperband,10.0,2.45,4
HABO,10.0,2.16,4
RandomSearch,10.75,1.71,4
HillClimbing,10.75,6.85,4
ROBOTune,10.75,1.71,4
DE,11.25,1.71,4
BO,12.25,0.96,4
ResTune,13.75,2.06,4
