optimizer_name,avg_rank,rank_std,problem_count
FLASH,2.5,1.91,4
HEBO,3.0,3.37,4
DEHB,3.0,1.41,4
PSO,3.75,1.5,4
CMAES,3.75,1.5,4
Tuneful,4.0,3.16,4
OtterTune,4.25,2.36,4
ATConf,5.0,4.97,4
ROBOTune,5.0,3.46,4
irace,5.0,3.37,4
HABO,5.5,3.51,4
SMAC,5.5,4.8,4
UQGuided,5.75,2.99,4
ConEx,6.0,3.16,4
PromiseTune,6.0,4.69,4
ES,6.25,4.35,4
BOCA,6.5,5.07,4
DE,8.75,2.99,4
Hyperband,8.75,4.57,4
BOHB,8.75,3.4,4
GA,8.75,2.63,4
ParamILS,9.0,3.56,4
RandomSearch,9.0,2.83,4
GGA,9.5,2.38,4
SA,9.75,3.59,4
BestConfig,9.75,1.5,4
ACO,10.25,2.99,4
HillClimbing,10.5,4.12,4
SWAY,10.75,3.3,4
BO,11.25,6.85,4
ResTune,11.5,6.35,4
