optimizer_name,avg_rank,rank_std,problem_count
SMAC,1.4,0.89,5
ATConf,1.6,0.89,5
FLASH,2.2,1.1,5
PSO,2.4,1.67,5
HEBO,2.6,0.89,5
ES,3.0,1.58,5
DEHB,4.0,1.87,5
OtterTune,4.4,2.3,5
irace,4.8,1.3,5
ConEx,5.0,1.0,5
PromiseTune,5.2,3.03,5
CMAES,7.0,1.58,5
UQGuided,7.2,2.77,5
BOHB,8.4,3.21,5
GA,8.6,1.82,5
ROBOTune,8.6,1.82,5
BOCA,9.0,1.87,5
ACO,9.4,2.97,5
SA,9.6,1.95,5
Hyperband,9.6,1.82,5
HABO,10.0,2.24,5
RandomSearch,10.2,1.79,5
GGA,10.4,1.52,5
BestConfig,10.4,1.82,5
SWAY,10.6,3.44,5
ParamILS,11.0,3.39,5
DE,11.2,1.48,5
Tuneful,12.2,4.66,5
BO,12.4,2.51,5
ResTune,12.4,2.07,5
HillClimbing,12.6,3.44,5
