optimizer_name,avg_rank,rank_std,problem_count
FLASH,1.38,0.51,13
ATConf,1.77,0.83,13
OtterTune,1.92,1.32,13
HEBO,2.08,1.61,13
PromiseTune,2.15,2.23,13
ROBOTune,2.23,1.24,13
DEHB,2.23,1.88,13
ES,2.38,1.71,13
Hyperband,2.38,1.45,13
ConEx,2.46,1.27,13
GA,2.46,1.56,13
Tuneful,2.62,2.75,13
irace,2.62,1.45,13
BOHB,2.62,1.61,13
RandomSearch,2.69,1.65,13
GGA,2.77,1.59,13
BestConfig,2.85,1.57,13
CMAES,2.92,1.66,13
DE,2.92,2.02,13
UQGuided,2.92,1.98,13
PSO,3.08,1.8,13
SMAC,3.08,2.36,13
SA,3.31,1.7,13
ParamILS,3.92,2.4,13
HABO,4.15,1.77,13
ACO,4.54,2.26,13
HillClimbing,5.0,2.52,13
BOCA,5.0,2.77,13
SWAY,5.54,1.85,13
BO,6.08,2.6,13
ResTune,6.08,2.53,13
