optimizer_name,avg_rank,rank_std,problem_count
ES,1.73,0.96,15
HEBO,1.93,2.22,15
SMAC,2.33,1.63,15
DEHB,2.67,1.76,15
FLASH,2.73,1.71,15
PSO,3.13,1.6,15
irace,3.27,1.67,15
OtterTune,4.07,2.34,15
ConEx,4.47,2.42,15
PromiseTune,4.67,4.01,15
ATConf,4.87,3.07,15
GA,5.0,2.83,15
CMAES,5.27,2.99,15
ROBOTune,5.67,3.33,15
UQGuided,5.73,3.56,15
BOHB,6.13,4.58,15
Hyperband,6.6,4.81,15
ParamILS,6.93,3.06,15
DE,7.13,4.64,15
GGA,7.2,4.49,15
BestConfig,7.27,4.33,15
RandomSearch,7.33,4.29,15
Tuneful,7.33,6.16,15
SWAY,7.4,4.44,15
ACO,7.47,4.67,15
BOCA,7.47,4.37,15
SA,7.6,4.19,15
HABO,8.07,4.57,15
HillClimbing,8.13,3.14,15
BO,9.73,4.73,15
ResTune,10.13,4.44,15
