optimizer_name,avg_rank,rank_std,problem_count
ATConf,1.0,0.0,2
OtterTune,1.0,0.0,2
ES,1.5,0.71,2
HEBO,2.0,1.41,2
irace,2.5,0.71,2
ConEx,2.5,2.12,2
FLASH,3.0,2.83,2
PromiseTune,3.0,0.0,2
DEHB,3.0,1.41,2
SMAC,4.0,0.0,2
PSO,4.5,2.12,2
ROBOTune,4.5,0.71,2
UQGuided,4.5,0.71,2
CMAES,4.5,0.71,2
GA,6.0,0.0,2
BOHB,6.5,2.12,2
BestConfig,7.0,1.41,2
SA,7.0,1.41,2
GGA,7.5,0.71,2
ACO,7.5,2.12,2
Hyperband,7.5,0.71,2
HABO,8.0,2.83,2
RandomSearch,8.0,0.0,2
BOCA,8.5,0.71,2
Tuneful,8.5,2.12,2
ParamILS,9.5,2.12,2
DE,9.5,0.71,2
SWAY,10.0,1.41,2
BO,11.5,0.71,2
HillClimbing,12.0,1.41,2
ResTune,12.0,0.0,2
