optimizer_name,avg_rank,rank_std,problem_count
ES,2.33,1.32,9
FLASH,2.67,1.8,9
PSO,3.44,1.94,9
irace,3.44,1.33,9
HEBO,3.56,2.24,9
ATConf,3.67,2.12,9
DEHB,3.78,2.44,9
ConEx,3.89,2.03,9
OtterTune,3.89,2.57,9
SMAC,4.0,4.06,9
PromiseTune,4.67,4.21,9
UQGuided,5.67,2.74,9
CMAES,5.78,1.99,9
GA,6.22,1.86,9
GGA,7.22,3.03,9
ROBOTune,7.33,5.05,9
HABO,7.44,4.3,9
BOHB,7.67,3.87,9
Hyperband,7.78,2.77,9
SWAY,7.78,4.68,9
RandomSearch,7.78,3.53,9
ACO,7.78,3.53,9
BOCA,8.11,4.65,9
DE,8.11,3.59,9
BestConfig,8.22,3.42,9
SA,8.44,4.8,9
ParamILS,9.0,4.64,9
Tuneful,9.11,4.88,9
BO,9.78,5.4,9
ResTune,9.78,3.67,9
HillClimbing,11.89,5.04,9
