problem_name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32
7z,GGA_SWAY,ATConf_BOHB_BestConfig_ConEx_DEHB_FLASH_HABO_HEBO_OtterTune_ParamILS_PromiseTune_SMAC_Tuneful_irace,BOCA_Hyperband_ROBOTune_ResTune_UQGuided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDBC,ATConf_BOCA_UQGuided,BOHB_Hyperband_OtterTune_SMAC,DEHB_ParamILS_PromiseTune,HEBO,FLASH,BestConfig_ConEx_GGA_ROBOTune_ResTune_SWAY_Tuneful_irace,HABO,,,,,,,,,,,,,,,,,,,,,,,,,
brotli,ATConf_BOCA_BOHB_BestConfig_ConEx_DEHB_FLASH_GGA_HEBO_Hyperband_ParamILS_PromiseTune_ROBOTune_ResTune_SMAC_Tuneful_UQGuided_irace,HABO_OtterTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-Cifar10,SWAY,FLASH_PromiseTune,ATConf_BOCA_BestConfig_ConEx_GGA_HABO_HEBO_Hyperband_OtterTune_ParamILS_ROBOTune_ResTune_SMAC_Tuneful_UQGuided_irace,BOHB_DEHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNN-ColorectalHistology,SWAY,BOCA_HABO_HEBO_ParamILS_SMAC_Tuneful,ATConf_ConEx_DEHB_FLASH_ResTune_UQGuided,PromiseTune,GGA_Hyperband,BestConfig_ROBOTune,BOHB_OtterTune_irace,,,,,,,,,,,,,,,,,,,,,,,,,
dconvert,DEHB_FLASH_OtterTune_ParamILS_ResTune_Tuneful,ATConf_BOCA_BestConfig_ConEx_ROBOTune,irace,HABO_HEBO_PromiseTune_SMAC_UQGuided,GGA,BOHB_Hyperband,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,
deeparch,ATConf_BOCA_DEHB_HABO_HEBO_OtterTune_ParamILS_ROBOTune_ResTune_SMAC_Tuneful_UQGuided_irace,BOHB_BestConfig_ConEx_FLASH_GGA_Hyperband_PromiseTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune,ATConf_SWAY,OtterTune_SMAC,UQGuided,BOCA_DEHB_FLASH_HABO_HEBO_ParamILS_PromiseTune_Tuneful_irace,ConEx_Hyperband_ROBOTune_ResTune,BOHB,GGA,BestConfig,,,,,,,,,,,,,,,,,,,,,,,,
exastencils,ATConf_ParamILS_Tuneful_UQGuided,BOCA_BestConfig_ConEx_FLASH_OtterTune_ResTune_SMAC_SWAY,DEHB_PromiseTune,GGA_HEBO_Hyperband_ROBOTune_irace,BOHB_HABO,,,,,,,,,,,,,,,,,,,,,,,,,,,
FastDownward,HABO_PromiseTune,ATConf_BOCA_DEHB_FLASH_GGA_HEBO_Hyperband_ParamILS_ROBOTune_SMAC_Tuneful_UQGuided_irace,BOHB_BestConfig_ConEx_OtterTune,ResTune,SWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
