optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
ATConf(SCT),2.11,0.84,47,1.89,1.06,36,2.01,0.94,83
PromiseTune(SCT),2.15,1.73,47,2.5,1.28,36,2.3,1.55,83
ResTune(SCT),2.17,1.05,47,2.56,1.42,36,2.34,1.23,83
ParamILS(HPO),2.17,0.82,47,2.25,1.16,36,2.2,0.97,83
FLASH(SCT),2.23,0.81,47,2.61,1.34,36,2.4,1.08,83
ConEx(SCT),2.34,0.84,47,2.83,1.48,36,2.55,1.18,83
BOCA(SCT),2.36,0.97,47,2.36,1.05,36,2.36,0.99,83
OtterTune(SCT),2.47,1.18,47,2.0,0.83,36,2.27,1.06,83
SMAC(HPO),2.6,0.97,47,2.03,0.88,36,2.35,0.97,83
Tuneful(SCT),2.68,1.12,47,2.61,1.52,36,2.65,1.3,83
UQGuided(HPO),3.0,1.04,47,2.31,1.09,36,2.7,1.11,83
DEHB(HPO),3.0,1.35,47,2.53,1.13,36,2.8,1.28,83
BestConfig(SCT),3.09,1.32,47,3.47,1.83,36,3.25,1.56,83
HEBO(HPO),3.15,1.3,47,2.86,1.36,36,3.02,1.32,83
BOHB(HPO),3.17,1.37,47,3.19,1.62,36,3.18,1.47,83
Hyperband(HPO),3.23,1.25,47,3.06,1.55,36,3.16,1.38,83
ROBOTune(SCT),3.28,1.61,47,3.44,1.59,36,3.35,1.6,83
GGA(HPO),3.28,1.33,47,3.56,1.87,36,3.4,1.58,83
irace(HPO),3.3,1.46,47,2.86,1.33,36,3.11,1.41,83
HABO(HPO),4.38,1.62,47,3.47,1.83,36,3.99,1.76,83
SWAY(SCT),4.53,1.65,47,3.53,1.9,36,4.1,1.83,83
