optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count,avg_rank,rank_std,problem_count
HEBO(HPO),1.68,1.59,47,3.42,2.72,36,2.43,2.31,83
FLASH(SCT),1.77,1.24,47,2.83,2.01,36,2.23,1.69,83
ES(general),1.81,1.24,47,3.36,2.27,36,2.48,1.92,83
DEHB(HPO),2.06,1.59,47,4.0,1.9,36,2.9,1.97,83
SMAC(HPO),2.3,1.84,47,4.61,4.59,36,3.3,3.5,83
OtterTune(SCT),2.34,1.94,47,4.75,2.92,36,3.39,2.68,83
irace(HPO),2.62,1.55,47,4.14,1.9,36,3.28,1.86,83
PromiseTune(SCT),2.72,2.95,47,4.72,3.97,36,3.59,3.55,83
ATConf(SCT),2.79,2.38,47,3.42,2.39,36,3.06,2.39,83
PSO(general),2.94,1.8,47,3.44,1.58,36,3.16,1.71,83
ROBOTune(SCT),3.09,2.75,47,7.78,3.53,36,5.12,3.88,83
ConEx(SCT),3.19,1.99,47,4.86,2.32,36,3.92,2.28,83
GA(general),3.38,2.46,47,7.17,2.29,36,5.02,3.03,83
CMAES(general),3.45,2.43,47,6.17,2.42,36,4.63,2.77,83
Tuneful(SCT),3.49,4.59,47,9.64,4.81,36,6.16,5.58,83
BOHB(HPO),3.81,3.37,47,7.92,2.9,36,5.59,3.76,83
Hyperband(HPO),4.02,3.61,47,8.72,2.41,36,6.06,3.91,83
UQGuided(HPO),4.26,2.93,47,5.72,2.85,36,4.89,2.97,83
DE(general),4.57,3.66,47,9.78,2.79,36,6.83,4.19,83
ParamILS(HPO),4.68,2.92,47,9.86,3.79,36,6.93,4.19,83
GGA(HPO),4.77,3.58,47,8.5,2.35,36,6.39,3.61,83
RandomSearch(general),4.89,3.68,47,8.92,2.45,36,6.64,3.77,83
BestConfig(SCT),4.89,3.67,47,8.86,2.24,36,6.61,3.69,83
SA(general),5.34,3.61,47,9.28,3.75,36,7.05,4.15,83
HillClimbing(general),5.6,3.1,47,12.19,4.13,36,8.46,4.85,83
HABO(HPO),5.74,3.65,47,8.56,3.24,36,6.96,3.73,83
ACO(general),5.79,3.71,47,8.47,3.05,36,6.95,3.67,83
BOCA(SCT),6.57,3.57,47,8.58,3.75,36,7.45,3.76,83
SWAY(SCT),7.0,3.46,47,9.42,4.29,36,8.05,4.0,83
BO(general),7.53,3.86,47,11.67,4.22,36,9.33,4.49,83
ResTune(SCT),7.53,4.01,47,11.92,3.66,36,9.43,4.42,83
