problem_name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32
7z,FLASH,HEBO,PSO_PromiseTune,ES,DEHB_irace,ATConf_ConEx_GA,CMAES,ACO,BOHB_GGA,BestConfig_Hyperband,HABO_RandomSearch,BOCA_DE_OtterTune_ROBOTune,SWAY_UQGuided,ParamILS_SMAC,SA,ResTune_Tuneful,HillClimbing,BO,,,,,,,,,,,,,,
BDBC,FLASH,ATConf_HEBO_OtterTune,ES,DEHB_PSO_PromiseTune,ConEx_GA_SMAC_UQGuided_irace,CMAES,BOHB_Hyperband,BestConfig_RandomSearch_GGA_HABO_ParamILS_ROBOTune_SA,DE,ACO,ResTune,SWAY,BO,HillClimbing_Tuneful,BOCA,,,,,,,,,,,,,,,,,
brotli,SMAC,DEHB,PSO,ATConf_ConEx_HEBO,CMAES_UQGuided,irace,BOCA,ES_FLASH_GA_GGA,BestConfig_Hyperband_OtterTune_RandomSearch,BOHB_DE_ROBOTune,BO,HABO_PromiseTune_Tuneful,ACO_ParamILS_ResTune_SA,SWAY,HillClimbing,,,,,,,,,,,,,,,,,
CNN-Cifar10,DEHB_ES_PSO_SMAC,ConEx,ATConf,UQGuided,GA_RandomSearch,CMAES_DE_FLASH_GGA_OtterTune_irace,BO_BOCA_Hyperband_PromiseTune_ROBOTune,BestConfig,BOHB_HABO_HEBO_SWAY,ACO_SA,ResTune,HillClimbing,ParamILS_Tuneful,,,,,,,,,,,,,,,,,,,
CNN-ColorectalHistology,SWAY,FLASH_PromiseTune_UQGuided,PSO_SMAC,BO_BestConfig_DEHB_ES,ConEx_GA_HEBO_Hyperband_SA_irace,ATConf_DE,ACO_BOCA_BOHB_CMAES_GGA_HABO_OtterTune_ROBOTune_RandomSearch_ResTune,Tuneful,HillClimbing,ParamILS,,,,,,,,,,,,,,,,,,,,,,
dconvert,ATConf_ES_FLASH_HEBO_OtterTune,DEHB_irace,PSO_PromiseTune,ConEx_ROBOTune_SMAC_UQGuided,BOHB_CMAES,ACO_GA_HABO_SA,Hyperband,BOCA_BestConfig_RandomSearch_GGA_ParamILS,DE,Tuneful,HillClimbing_SWAY,BO_ResTune,,,,,,,,,,,,,,,,,,,,
deeparch,FLASH_HEBO_OtterTune,PromiseTune,DEHB_ES_irace,ATConf_CMAES_PSO_UQGuided,ConEx,GA,BOHB_ROBOTune,BestConfig_RandomSearch_SA,GGA,BOCA_Hyperband,HABO,Tuneful,ParamILS,DE,ACO,SMAC,SWAY,HillClimbing,BO_ResTune,,,,,,,,,,,,,
Dune,FLASH_PromiseTune_HEBO,ATConf_PSO,SMAC_irace,ES,CMAES_DEHB_UQGuided,OtterTune_ParamILS,ConEx,DE_HABO_HillClimbing_ROBOTune_Tuneful,RandomSearch_SA,BOHB,ACO_BestConfig_GA_GGA,Hyperband,BOCA,SWAY,BO_ResTune,,,,,,,,,,,,,,,,,
exastencils,HEBO,ES,ATConf_PromiseTune,PSO_irace,DEHB,ConEx_UQGuided,CMAES_OtterTune,FLASH_Hyperband,BOHB_DE,ACO_BestConfig_GA_GGA_ParamILS_RandomSearch,ROBOTune_SA_SWAY,HABO_HillClimbing,BO,BOCA,SMAC,ResTune,Tuneful,,,,,,,,,,,,,,,
FastDownward,BO,BOCA_CMAES_Hyperband_ResTune_Tuneful,DEHB_HABO,BOHB_ConEx_OtterTune,FLASH_PSO_RandomSearch,DE,UQGuided,BestConfig_GGA_HEBO_ROBOTune,SWAY,irace,GA,ATConf_ES_PromiseTune_SMAC,ACO_ParamILS_SA,HillClimbing,,,,,,,,,,,,,,,,,,
