optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
ATConf(SCT),1.89,1.06,36
OtterTune(SCT),2.0,0.83,36
SMAC(HPO),2.03,0.88,36
ParamILS(HPO),2.25,1.16,36
UQGuided(HPO),2.31,1.09,36
BOCA(SCT),2.36,1.05,36
PromiseTune(SCT),2.5,1.28,36
DEHB(HPO),2.53,1.13,36
ResTune(SCT),2.56,1.42,36
Tuneful(SCT),2.61,1.52,36
FLASH(SCT),2.61,1.34,36
ConEx(SCT),2.83,1.48,36
HEBO(HPO),2.86,1.36,36
irace(HPO),2.86,1.33,36
Hyperband(HPO),3.06,1.55,36
BOHB(HPO),3.19,1.62,36
ROBOTune(SCT),3.44,1.59,36
HABO(HPO),3.47,1.83,36
BestConfig(SCT),3.47,1.83,36
SWAY(SCT),3.53,1.9,36
GGA(HPO),3.56,1.87,36
