optimizer_name_with_category,avg_rank,rank_std,problem_count
ATConf(SCT),2.01,0.94,83
ParamILS(HPO),2.2,0.97,83
OtterTune(SCT),2.27,1.06,83
PromiseTune(SCT),2.3,1.55,83
ResTune(SCT),2.34,1.23,83
SMAC(HPO),2.35,0.97,83
BOCA(SCT),2.36,0.99,83
FLASH(SCT),2.4,1.08,83
ConEx(SCT),2.55,1.18,83
Tuneful(SCT),2.65,1.3,83
UQGuided(HPO),2.7,1.11,83
DEHB(HPO),2.8,1.28,83
HEBO(HPO),3.02,1.32,83
irace(HPO),3.11,1.41,83
Hyperband(HPO),3.16,1.38,83
BOHB(HPO),3.18,1.47,83
BestConfig(SCT),3.25,1.56,83
ROBOTune(SCT),3.35,1.6,83
GGA(HPO),3.4,1.58,83
HABO(HPO),3.99,1.76,83
SWAY(SCT),4.1,1.83,83
