optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
ATConf(SCT),2.11,0.84,47
PromiseTune(SCT),2.15,1.73,47
ResTune(SCT),2.17,1.05,47
ParamILS(HPO),2.17,0.82,47
FLASH(SCT),2.23,0.81,47
ConEx(SCT),2.34,0.84,47
BOCA(SCT),2.36,0.97,47
OtterTune(SCT),2.47,1.18,47
SMAC(HPO),2.6,0.97,47
Tuneful(SCT),2.68,1.12,47
DEHB(HPO),3.0,1.35,47
UQGuided(HPO),3.0,1.04,47
BestConfig(SCT),3.09,1.32,47
HEBO(HPO),3.15,1.3,47
BOHB(HPO),3.17,1.37,47
Hyperband(HPO),3.23,1.25,47
ROBOTune(SCT),3.28,1.61,47
GGA(HPO),3.28,1.33,47
irace(HPO),3.3,1.46,47
HABO(HPO),4.38,1.62,47
SWAY(SCT),4.53,1.65,47
