optimizer_name_with_category,avg_rank,rank_std,problem_count
FLASH(SCT),2.07,1.39,83
HEBO(HPO),2.12,1.87,83
DEHB(HPO),2.58,1.6,83
ATConf(SCT),2.8,1.96,83
SMAC(HPO),2.94,2.77,83
irace(HPO),3.0,1.54,83
OtterTune(SCT),3.06,2.24,83
PromiseTune(SCT),3.23,2.94,83
ConEx(SCT),3.58,1.98,83
UQGuided(HPO),4.35,2.48,83
ROBOTune(SCT),4.49,3.14,83
BOHB(HPO),4.83,2.9,83
Hyperband(HPO),5.18,3.0,83
Tuneful(SCT),5.22,4.4,83
GGA(HPO),5.42,2.92,83
BestConfig(SCT),5.55,2.97,83
HABO(HPO),5.92,3.0,83
ParamILS(HPO),5.94,3.33,83
BOCA(SCT),6.17,2.91,83
SWAY(SCT),6.76,3.17,83
ResTune(SCT),7.7,3.52,83
