optimizer_name_with_category,hpo_domain_avg_rank,hpo_domain_rank_std,hpo_domain_problem_count
HEBO(HPO),1.62,1.48,47
FLASH(SCT),1.64,1.01,47
DEHB(HPO),1.98,1.41,47
SMAC(HPO),2.21,1.67,47
OtterTune(SCT),2.23,1.71,47
PromiseTune(SCT),2.53,2.55,47
ATConf(SCT),2.6,1.97,47
irace(HPO),2.62,1.44,47
ROBOTune(SCT),2.91,2.31,47
ConEx(SCT),3.04,1.78,47
Tuneful(SCT),3.09,3.6,47
BOHB(HPO),3.55,2.7,47
Hyperband(HPO),3.74,2.85,47
UQGuided(HPO),3.85,2.44,47
GGA(HPO),4.17,2.99,47
ParamILS(HPO),4.21,2.4,47
BestConfig(SCT),4.28,3.0,47
HABO(HPO),5.0,2.97,47
BOCA(SCT),5.6,2.76,47
SWAY(SCT),6.02,2.82,47
ResTune(SCT),6.26,3.21,47
