optimizer_name_with_category,sct_domain_avg_rank,sct_domain_rank_std,sct_domain_problem_count
FLASH(SCT),2.64,1.61,36
HEBO(HPO),2.78,2.13,36
ATConf(SCT),3.06,1.93,36
DEHB(HPO),3.36,1.51,36
irace(HPO),3.5,1.54,36
SMAC(HPO),3.89,3.56,36
OtterTune(SCT),4.14,2.42,36
PromiseTune(SCT),4.14,3.2,36
ConEx(SCT),4.28,2.04,36
UQGuided(HPO),5.0,2.41,36
BOHB(HPO),6.5,2.25,36
ROBOTune(SCT),6.56,2.9,36
BOCA(SCT),6.92,2.97,36
Hyperband(HPO),7.06,2.03,36
GGA(HPO),7.06,1.85,36
HABO(HPO),7.11,2.64,36
BestConfig(SCT),7.22,1.96,36
SWAY(SCT),7.72,3.39,36
Tuneful(SCT),8.0,3.78,36
ParamILS(HPO),8.19,3.04,36
ResTune(SCT),9.58,3.01,36
