problem,FDC,FBD,PLO,Skewness,Kurtosis,CL,MIE,NBC
nn-3917,0.044,95.553,0.028,0.167,-1.516,0.573,0.732,0.027
nn-53,0.194,122.889,0.058,1.157,-0.307,0.216,0.812,0.0
nn-9952,-0.127,24.254,0.037,1.028,-0.447,1.066,0.747,0.015
rf-10101,0.047,9.624,0.106,0.384,-1.316,2.552,0.576,0.051
rf-146195,0.492,21.842,0.016,-0.731,-0.982,3.427,0.374,0.12
rf-146212,0.153,13.51,0.026,0.301,-0.594,2.507,0.781,0.132
rf-146818,-0.03,6.667,0.152,3.381,18.961,3.564,0.743,0.051
rf-146821,0.371,17.924,0.022,-0.818,-0.532,5.11,0.427,0.129
rf-146822,-0.066,1.547,0.115,1.297,0.327,3.405,0.742,0.067
rf-14965,0.067,11.435,0.055,-0.462,-1.415,7.534,0.486,0.079
rf-167119,0.161,12.968,0.053,0.26,-1.56,4.3,0.661,0.038
rf-168329,0.391,28.167,0.026,-0.077,-1.443,1.128,0.558,0.035
rf-168330,0.059,19.47,0.17,0.797,-0.777,1.785,0.701,0.024
rf-168331,0.404,21.168,0.007,-0.02,-1.397,3.441,0.53,0.096
rf-168335,0.408,8.355,0.13,1.607,2.486,3.549,0.698,0.027
rf-168868,0.362,21.49,0.016,0.575,-1.122,1.941,0.479,0.102
rf-168908,0.109,2.095,0.133,0.493,-0.916,3.693,0.721,0.075
rf-168910,0.065,27.538,0.014,-0.674,-0.423,2.752,0.641,0.111
rf-7592,0.136,18.27,0.108,0.327,-1.653,2.977,0.527,0.037
rf-9952,0.322,17.329,0.045,1.419,1.396,3.142,0.61,0.035
rf-9977,0.51,13.888,0.13,1.813,2.501,3.34,0.567,0.028
rf-9981,0.061,21.772,0.013,0.586,-1.255,2.026,0.562,0.201
xgb-10101,0.171,64.654,0.161,0.325,0.131,4.036,0.327,0.003
xgb-146818,0.072,66.773,0.181,0.903,0.025,5.789,0.487,0.001
xgb-146821,0.128,69.604,0.148,2.482,6.364,2.165,0.464,0.003
xgb-146822,0.046,69.037,0.751,2.519,7.096,2.804,0.236,0.0
xgb-167119,0.408,45.407,0.196,0.462,-1.743,2.617,0.273,0.001
xgb-3,0.209,125.88,0.749,2.293,5.459,2.319,0.08,0.0
xgb-31,0.237,71.764,0.141,1.3,4.479,2.286,0.576,0.003
xgb-3917,0.12,68.565,0.145,1.063,-0.025,1.614,0.513,0.001
xgb-53,0.015,65.416,0.168,1.964,3.25,2.624,0.534,0.001
xgb-9952,0.147,59.541,0.126,0.557,-1.202,3.986,0.35,0.003
